DeathMaritalStatusMaritalStatusDesc,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
Unknown,Whooping cough (A37),0,N/A,120
Married,Scarlet fever and erysipelas (A38A46),0,N/A,126
Married but Separated,Scarlet fever and erysipelas (A38A46),0,N/A,129
Widowed,Scarlet fever and erysipelas (A38A46),0,N/A,132
Divorced,Scarlet fever and erysipelas (A38A46),0,N/A,135
Never Married,Scarlet fever and erysipelas (A38A46),0,N/A,138
Unknown,Scarlet fever and erysipelas (A38A46),0,N/A,141
Married,Meningococcal infection (A39),0,N/A,147
Married but Separated,Meningococcal infection (A39),0,N/A,150
Widowed,Meningococcal infection (A39),0,N/A,153
Divorced,Meningococcal infection (A39),0,N/A,156
Never Married,Meningococcal infection (A39),0,N/A,159
Unknown,Meningococcal infection (A39),0,N/A,162
Married,Septicemia (A40-A41),4,N/A,168
Married but Separated,Septicemia (A40-A41),0,N/A,171
Widowed,Septicemia (A40-A41),2,N/A,174
Divorced,Septicemia (A40-A41),1,N/A,177
Never Married,Septicemia (A40-A41),1,N/A,180
Unknown,Septicemia (A40-A41),0,N/A,183
Married,Syphilis ((A50-A53),0,N/A,189
Married but Separated,Syphilis ((A50-A53),0,N/A,192
Widowed,Syphilis ((A50-A53),0,N/A,195
Divorced,Syphilis ((A50-A53),0,N/A,198
Never Married,Syphilis ((A50-A53),0,N/A,201
Unknown,Syphilis ((A50-A53),0,N/A,204
Married,Acute poliomyelitis (A80),0,N/A,210
Married but Separated,Acute poliomyelitis (A80),0,N/A,213
Widowed,Acute poliomyelitis (A80),0,N/A,216
Divorced,Acute poliomyelitis (A80),0,N/A,219
Never Married,Acute poliomyelitis (A80),0,N/A,222
Unknown,Acute poliomyelitis (A80),0,N/A,225
Married,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,231
Married but Separated,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,234
Widowed,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,237
Divorced,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,240
Never Married,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,243
Unknown,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,246
Married,Viral hepatitis (B15-B19),0,N/A,252
Married but Separated,Viral hepatitis (B15-B19),0,N/A,255
Widowed,Viral hepatitis (B15-B19),0,N/A,258
Divorced,Viral hepatitis (B15-B19),0,N/A,261
Never Married,Viral hepatitis (B15-B19),0,N/A,264
Unknown,Viral hepatitis (B15-B19),0,N/A,267
Married,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,273
Married but Separated,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,276
Widowed,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,279
Divorced,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,282
Never Married,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,285
Unknown,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,288
Married,Malaria (B50-B54),0,N/A,294
Married but Separated,Malaria (B50-B54),0,N/A,297
Widowed,Malaria (B50-B54),0,N/A,300
Divorced,Malaria (B50-B54),0,N/A,303
Never Married,Malaria (B50-B54),0,N/A,306
Unknown,Malaria (B50-B54),0,N/A,309
Married,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,315
Married but Separated,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,318
Widowed,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,321
Divorced,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,324
Never Married,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,327
Unknown,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,330
Married,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),1,N/A,336
Married but Separated,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,339
Widowed,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,342
Divorced,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,345
Never Married,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),1,N/A,348
Unknown,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,351
Married,Malignant neoplasm of esophagus (C15),2,N/A,357
Married but Separated,Malignant neoplasm of esophagus (C15),0,N/A,360
Widowed,Malignant neoplasm of esophagus (C15),1,N/A,363
Divorced,Malignant neoplasm of esophagus (C15),0,N/A,366
Never Married,Malignant neoplasm of esophagus (C15),0,N/A,369
Unknown,Malignant neoplasm of esophagus (C15),0,N/A,372
Married,Malignant neoplasm of stomach (C16),0,N/A,378
Married but Separated,Malignant neoplasm of stomach (C16),0,N/A,381
Widowed,Malignant neoplasm of stomach (C16),1,N/A,384
Divorced,Malignant neoplasm of stomach (C16),1,N/A,387
Never Married,Malignant neoplasm of stomach (C16),0,N/A,390
Unknown,Malignant neoplasm of stomach (C16),0,N/A,393
Married,Malignant neoplasms of colon rectum and anus (C18-C21),10,0.1,399
Married but Separated,Malignant neoplasms of colon rectum and anus (C18-C21),1,N/A,402
Widowed,Malignant neoplasms of colon rectum and anus (C18-C21),4,N/A,405
Divorced,Malignant neoplasms of colon rectum and anus (C18-C21),1,N/A,408
Never Married,Malignant neoplasms of colon rectum and anus (C18-C21),3,N/A,411
Unknown,Malignant neoplasms of colon rectum and anus (C18-C21),0,N/A,414
Married,Malignant neoplasms of liver and intrahepatic bile ducts (C22),0,N/A,420
Married but Separated,Malignant neoplasms of liver and intrahepatic bile ducts (C22),0,N/A,423
Widowed,Malignant neoplasms of liver and intrahepatic bile ducts (C22),0,N/A,426
Divorced,Malignant neoplasms of liver and intrahepatic bile ducts (C22),1,N/A,429
Never Married,Malignant neoplasms of liver and intrahepatic bile ducts (C22),0,N/A,432
Unknown,Malignant neoplasms of liver and intrahepatic bile ducts (C22),0,N/A,435
Married,Malignant neoplasm of pancreas (C25),5,N/A,441
Married but Separated,Malignant neoplasm of pancreas (C25),0,N/A,444
Widowed,Malignant neoplasm of pancreas (C25),2,N/A,447
Divorced,Malignant neoplasm of pancreas (C25),2,N/A,450
Never Married,Malignant neoplasm of pancreas (C25),0,N/A,453
Unknown,Malignant neoplasm of pancreas (C25),0,N/A,456
Married,Malignant neoplasm of larynx (C32),1,N/A,462
Married but Separated,Malignant neoplasm of larynx (C32),0,N/A,465
Widowed,Malignant neoplasm of larynx (C32),0,N/A,468
Divorced,Malignant neoplasm of larynx (C32),0,N/A,471
Never Married,Malignant neoplasm of larynx (C32),0,N/A,474
Unknown,Malignant neoplasm of larynx (C32),0,N/A,477
Married,Malignant neoplasms of trachea bronchus and lung (C33-C34),11,0.1,483
Married but Separated,Malignant neoplasms of trachea bronchus and lung (C33-C34),0,N/A,486
Widowed,Malignant neoplasms of trachea bronchus and lung (C33-C34),6,N/A,489
Divorced,Malignant neoplasms of trachea bronchus and lung (C33-C34),6,N/A,492
Never Married,Malignant neoplasms of trachea bronchus and lung (C33-C34),4,N/A,495
Unknown,Malignant neoplasms of trachea bronchus and lung (C33-C34),0,N/A,498
Married,Malignant melanoma of skin (C43),2,N/A,504
Married but Separated,Malignant melanoma of skin (C43),0,N/A,507
Widowed,Malignant melanoma of skin (C43),0,N/A,510
Divorced,Malignant melanoma of skin (C43),1,N/A,513
Never Married,Malignant melanoma of skin (C43),1,N/A,516
Unknown,Malignant melanoma of skin (C43),0,N/A,519
Married,Malignant neoplasm of breast (C50),6,N/A,525
Married but Separated,Malignant neoplasm of breast (C50),0,N/A,528
Widowed,Malignant neoplasm of breast (C50),1,N/A,531
Divorced,Malignant neoplasm of breast (C50),4,N/A,534
Never Married,Malignant neoplasm of breast (C50),0,N/A,537
Unknown,Malignant neoplasm of breast (C50),0,N/A,540
Married,Malignant neoplasm of cervix uteri (C53),0,N/A,546
Married but Separated,Malignant neoplasm of cervix uteri (C53),0,N/A,549
Widowed,Malignant neoplasm of cervix uteri (C53),0,N/A,552
Divorced,Malignant neoplasm of cervix uteri (C53),0,N/A,555
Never Married,Malignant neoplasm of cervix uteri (C53),1,N/A,558
Unknown,Malignant neoplasm of cervix uteri (C53),0,N/A,561
Married,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),1,N/A,567
Married but Separated,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),0,N/A,570
Widowed,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),2,N/A,573
Divorced,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),0,N/A,576
Never Married,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),0,N/A,579
Unknown,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),0,N/A,582
Married,Malignant neoplasm of ovary (C56),1,N/A,588
Married but Separated,Malignant neoplasm of ovary (C56),0,N/A,591
Widowed,Malignant neoplasm of ovary (C56),0,N/A,594
Divorced,Malignant neoplasm of ovary (C56),1,N/A,597
Never Married,Malignant neoplasm of ovary (C56),1,N/A,600
Unknown,Malignant neoplasm of ovary (C56),0,N/A,603
Married,Malignant neoplasm of prostate (C61),3,N/A,609
Married but Separated,Malignant neoplasm of prostate (C61),0,N/A,612
Widowed,Malignant neoplasm of prostate (C61),2,N/A,615
Divorced,Malignant neoplasm of prostate (C61),1,N/A,618
Never Married,Malignant neoplasm of prostate (C61),0,N/A,621
Unknown,Malignant neoplasm of prostate (C61),0,N/A,624
Married,Malignant neoplasms of kidney and renal pelvis (C64-C65),3,N/A,630
Married but Separated,Malignant neoplasms of kidney and renal pelvis (C64-C65),0,N/A,633
Widowed,Malignant neoplasms of kidney and renal pelvis (C64-C65),1,N/A,636
Divorced,Malignant neoplasms of kidney and renal pelvis (C64-C65),0,N/A,639
Never Married,Malignant neoplasms of kidney and renal pelvis (C64-C65),0,N/A,642
Unknown,Malignant neoplasms of kidney and renal pelvis (C64-C65),0,N/A,645
Married,Malignant neoplasm of bladder (C67),0,N/A,651
Married but Separated,Malignant neoplasm of bladder (C67),0,N/A,654
Widowed,Malignant neoplasm of bladder (C67),0,N/A,657
Divorced,Malignant neoplasm of bladder (C67),0,N/A,660
Never Married,Malignant neoplasm of bladder (C67),0,N/A,663
Unknown,Malignant neoplasm of bladder (C67),0,N/A,666
Married,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),5,N/A,672
Married but Separated,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),0,N/A,675
Widowed,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),0,N/A,678
Divorced,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),0,N/A,681
Never Married,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),0,N/A,684
Unknown,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),0,N/A,687
Married,Hodgkin's disease (C81),0,N/A,693
Married but Separated,Hodgkin's disease (C81),0,N/A,696
Widowed,Hodgkin's disease (C81),0,N/A,699
Divorced,Hodgkin's disease (C81),0,N/A,702
Never Married,Hodgkin's disease (C81),0,N/A,705
Unknown,Hodgkin's disease (C81),0,N/A,708
Married,Non-Hodgkin's lymphoma (C82-C85),4,N/A,714
Married but Separated,Non-Hodgkin's lymphoma (C82-C85),0,N/A,717
Widowed,Non-Hodgkin's lymphoma (C82-C85),0,N/A,720
Divorced,Non-Hodgkin's lymphoma (C82-C85),0,N/A,723
Never Married,Non-Hodgkin's lymphoma (C82-C85),0,N/A,726
Unknown,Non-Hodgkin's lymphoma (C82-C85),0,N/A,729
Married,Leukemia (C91-C95),2,N/A,735
Married but Separated,Leukemia (C91-C95),0,N/A,738
Widowed,Leukemia (C91-C95),2,N/A,741
Divorced,Leukemia (C91-C95),0,N/A,744
Never Married,Leukemia (C91-C95),0,N/A,747
Unknown,Leukemia (C91-C95),0,N/A,750
Married,Multiple myeloma and immunoproliferative neoplasms (C88C90),1,N/A,756
Married but Separated,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,759
Widowed,Multiple myeloma and immunoproliferative neoplasms (C88C90),2,N/A,762
Divorced,Multiple myeloma and immunoproliferative neoplasms (C88C90),1,N/A,765
Never Married,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,768
Unknown,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,771
Married,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,777
Married but Separated,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,780
Widowed,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,783
Divorced,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,786
Never Married,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,789
Unknown,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,792
Married,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),7,N/A,798
Married but Separated,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),0,N/A,801
Widowed,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),3,N/A,804
Divorced,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),1,N/A,807
Never Married,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),2,N/A,810
Unknown,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),0,N/A,813
Married,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),2,N/A,819
Married but Separated,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,822
Widowed,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),2,N/A,825
Divorced,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,828
Never Married,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,831
Unknown,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,834
Married,Anemias (D50-D64),1,N/A,840
Married but Separated,Anemias (D50-D64),0,N/A,843
Widowed,Anemias (D50-D64),0,N/A,846
Divorced,Anemias (D50-D64),0,N/A,849
Never Married,Anemias (D50-D64),0,N/A,852
Unknown,Anemias (D50-D64),0,N/A,855
Married,Diabetes mellitus (E10-E14),2,N/A,861
Married but Separated,Diabetes mellitus (E10-E14),0,N/A,864
Widowed,Diabetes mellitus (E10-E14),4,N/A,867
Divorced,Diabetes mellitus (E10-E14),2,N/A,870
Never Married,Diabetes mellitus (E10-E14),0,N/A,873
Unknown,Diabetes mellitus (E10-E14),0,N/A,876
Married,Malnutrition (E40-E46),0,N/A,882
Married but Separated,Malnutrition (E40-E46),0,N/A,885
Widowed,Malnutrition (E40-E46),0,N/A,888
Divorced,Malnutrition (E40-E46),1,N/A,891
Never Married,Malnutrition (E40-E46),1,N/A,894
Unknown,Malnutrition (E40-E46),0,N/A,897
Married,Other nutritional deficiencies (E50-E64),0,N/A,903
Married but Separated,Other nutritional deficiencies (E50-E64),0,N/A,906
Widowed,Other nutritional deficiencies (E50-E64),0,N/A,909
Divorced,Other nutritional deficiencies (E50-E64),0,N/A,912
Never Married,Other nutritional deficiencies (E50-E64),0,N/A,915
Unknown,Other nutritional deficiencies (E50-E64),0,N/A,918
Married,Meningitis (G00G03),0,N/A,924
Married but Separated,Meningitis (G00G03),0,N/A,927
Widowed,Meningitis (G00G03),0,N/A,930
Divorced,Meningitis (G00G03),0,N/A,933
Never Married,Meningitis (G00G03),0,N/A,936
Unknown,Meningitis (G00G03),0,N/A,939
Married,Parkinson's disease (G20-G21),9,N/A,945
Married but Separated,Parkinson's disease (G20-G21),0,N/A,948
Widowed,Parkinson's disease (G20-G21),3,N/A,951
Divorced,Parkinson's disease (G20-G21),0,N/A,954
Never Married,Parkinson's disease (G20-G21),2,N/A,957
Unknown,Parkinson's disease (G20-G21),0,N/A,960
Married,Alzheimer's disease (G30),9,N/A,966
Married but Separated,Alzheimer's disease (G30),0,N/A,969
Widowed,Alzheimer's disease (G30),17,0.1,972
Divorced,Alzheimer's disease (G30),1,N/A,975
Never Married,Alzheimer's disease (G30),1,N/A,978
Unknown,Alzheimer's disease (G30),0,N/A,981
Married,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),0,N/A,987
Married but Separated,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),0,N/A,990
Widowed,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),0,N/A,993
Divorced,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),0,N/A,996
Never Married,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),0,N/A,999
Unknown,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),0,N/A,1002
Married,Hypertensive heart disease (I11),3,N/A,1008
Married but Separated,Hypertensive heart disease (I11),0,N/A,1011
Widowed,Hypertensive heart disease (I11),3,N/A,1014
Divorced,Hypertensive heart disease (I11),0,N/A,1017
Never Married,Hypertensive heart disease (I11),3,N/A,1020
Unknown,Hypertensive heart disease (I11),0,N/A,1023
Married,Hypertensive heart and renal disease (I13),1,N/A,1029
Married but Separated,Hypertensive heart and renal disease (I13),0,N/A,1032
Widowed,Hypertensive heart and renal disease (I13),0,N/A,1035
Divorced,Hypertensive heart and renal disease (I13),2,N/A,1038
Never Married,Hypertensive heart and renal disease (I13),0,N/A,1041
Unknown,Hypertensive heart and renal disease (I13),0,N/A,1044
Married,Acute myocardial infarction (I21-I22),4,N/A,1050
Married but Separated,Acute myocardial infarction (I21-I22),0,N/A,1053
Widowed,Acute myocardial infarction (I21-I22),3,N/A,1056
Divorced,Acute myocardial infarction (I21-I22),1,N/A,1059
Never Married,Acute myocardial infarction (I21-I22),6,N/A,1062
Unknown,Acute myocardial infarction (I21-I22),0,N/A,1065
Married,Other acute ischemic heart diseases (I24),0,N/A,1071
Married but Separated,Other acute ischemic heart diseases (I24),0,N/A,1074
Widowed,Other acute ischemic heart diseases (I24),0,N/A,1077
Divorced,Other acute ischemic heart diseases (I24),1,N/A,1080
Never Married,Other acute ischemic heart diseases (I24),0,N/A,1083
Unknown,Other acute ischemic heart diseases (I24),0,N/A,1086
Married,Atherosclerotic cardiovascular disease so described (I25.0),4,N/A,1092
Married but Separated,Atherosclerotic cardiovascular disease so described (I25.0),0,N/A,1095
Widowed,Atherosclerotic cardiovascular disease so described (I25.0),1,N/A,1098
Divorced,Atherosclerotic cardiovascular disease so described (I25.0),0,N/A,1101
Never Married,Atherosclerotic cardiovascular disease so described (I25.0),4,N/A,1104
Unknown,Atherosclerotic cardiovascular disease so described (I25.0),0,N/A,1107
Married,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),9,N/A,1113
Married but Separated,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),0,N/A,1116
Widowed,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),12,0.1,1119
Divorced,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),4,N/A,1122
Never Married,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),2,N/A,1125
Unknown,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),0,N/A,1128
Married,Acute and subacute endocarditis (I33),0,N/A,1134
Married but Separated,Acute and subacute endocarditis (I33),0,N/A,1137
Widowed,Acute and subacute endocarditis (I33),0,N/A,1140
Divorced,Acute and subacute endocarditis (I33),0,N/A,1143
Never Married,Acute and subacute endocarditis (I33),0,N/A,1146
Unknown,Acute and subacute endocarditis (I33),0,N/A,1149
Married,Diseases of pericardium and acute myocarditis (I30-I31I40),0,N/A,1155
Married but Separated,Diseases of pericardium and acute myocarditis (I30-I31I40),0,N/A,1158
Widowed,Diseases of pericardium and acute myocarditis (I30-I31I40),0,N/A,1161
Divorced,Diseases of pericardium and acute myocarditis (I30-I31I40),0,N/A,1164
Never Married,Diseases of pericardium and acute myocarditis (I30-I31I40),0,N/A,1167
Unknown,Diseases of pericardium and acute myocarditis (I30-I31I40),0,N/A,1170
Married,Heart failure (I50),5,N/A,1176
Married but Separated,Heart failure (I50),0,N/A,1179
Widowed,Heart failure (I50),12,0.1,1182
Divorced,Heart failure (I50),1,N/A,1185
Never Married,Heart failure (I50),0,N/A,1188
Unknown,Heart failure (I50),0,N/A,1191
Married,All other forms of heart disease (I26-I28I34-I38I42-I49I51),7,N/A,1197
Married but Separated,All other forms of heart disease (I26-I28I34-I38I42-I49I51),0,N/A,1200
Widowed,All other forms of heart disease (I26-I28I34-I38I42-I49I51),5,N/A,1203
Divorced,All other forms of heart disease (I26-I28I34-I38I42-I49I51),3,N/A,1206
Never Married,All other forms of heart disease (I26-I28I34-I38I42-I49I51),2,N/A,1209
Unknown,All other forms of heart disease (I26-I28I34-I38I42-I49I51),0,N/A,1212
Married,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),3,N/A,1218
Married but Separated,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),0,N/A,1221
Widowed,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),2,N/A,1224
Divorced,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),0,N/A,1227
Never Married,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),0,N/A,1230
Unknown,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),0,N/A,1233
Married,Cerebrovascular diseases (I60-I69),8,N/A,1239
Married but Separated,Cerebrovascular diseases (I60-I69),0,N/A,1242
Widowed,Cerebrovascular diseases (I60-I69),17,0.1,1245
Divorced,Cerebrovascular diseases (I60-I69),5,N/A,1248
Never Married,Cerebrovascular diseases (I60-I69),2,N/A,1251
Unknown,Cerebrovascular diseases (I60-I69),0,N/A,1254
Married,Atherosclerosis (I70),0,N/A,1260
Married but Separated,Atherosclerosis (I70),0,N/A,1263
Widowed,Atherosclerosis (I70),0,N/A,1266
Divorced,Atherosclerosis (I70),0,N/A,1269
Never Married,Atherosclerosis (I70),0,N/A,1272
Unknown,Atherosclerosis (I70),0,N/A,1275
Married,Aortic aneurysm and dissection (I71),1,N/A,1281
Married but Separated,Aortic aneurysm and dissection (I71),0,N/A,1284
Widowed,Aortic aneurysm and dissection (I71),1,N/A,1287
Divorced,Aortic aneurysm and dissection (I71),0,N/A,1290
Never Married,Aortic aneurysm and dissection (I71),0,N/A,1293
Unknown,Aortic aneurysm and dissection (I71),0,N/A,1296
Married,Other diseases of arteries arterioles and capillaries (I72-I78),1,N/A,1302
Married but Separated,Other diseases of arteries arterioles and capillaries (I72-I78),0,N/A,1305
Widowed,Other diseases of arteries arterioles and capillaries (I72-I78),2,N/A,1308
Divorced,Other diseases of arteries arterioles and capillaries (I72-I78),0,N/A,1311
Never Married,Other diseases of arteries arterioles and capillaries (I72-I78),0,N/A,1314
Unknown,Other diseases of arteries arterioles and capillaries (I72-I78),0,N/A,1317
Married,Other disorders of circulatory system (I80-I99),0,N/A,1323
Married but Separated,Other disorders of circulatory system (I80-I99),0,N/A,1326
Widowed,Other disorders of circulatory system (I80-I99),0,N/A,1329
Divorced,Other disorders of circulatory system (I80-I99),0,N/A,1332
Never Married,Other disorders of circulatory system (I80-I99),0,N/A,1335
Unknown,Other disorders of circulatory system (I80-I99),0,N/A,1338
Married,Influenza (J09-J11),0,N/A,1344
Married but Separated,Influenza (J09-J11),0,N/A,1347
Widowed,Influenza (J09-J11),0,N/A,1350
Divorced,Influenza (J09-J11),0,N/A,1353
Never Married,Influenza (J09-J11),0,N/A,1356
Unknown,Influenza (J09-J11),0,N/A,1359
Married,Pneumonia (J12-J18),0,N/A,1365
Married but Separated,Pneumonia (J12-J18),0,N/A,1368
Widowed,Pneumonia (J12-J18),6,N/A,1371
Divorced,Pneumonia (J12-J18),0,N/A,1374
Never Married,Pneumonia (J12-J18),0,N/A,1377
Unknown,Pneumonia (J12-J18),0,N/A,1380
Married,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,1386
Married but Separated,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,1389
Widowed,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,1392
Divorced,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,1395
Never Married,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,1398
Unknown,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,1401
Married,Unspecified acute lower respiratory infection (J22U049U071),39,0.3,1407
Married but Separated,Unspecified acute lower respiratory infection (J22U049U071),0,N/A,1410
