DeathMaritalStatusMaritalStatusDesc,DeathYearYear,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
Married but Separated,Total,Other tuberculosis (A17-A19),0,N/A,267
Widowed,2020 **,Other tuberculosis (A17-A19),1,N/A,270
Widowed,2021 **,Other tuberculosis (A17-A19),0,N/A,273
Widowed,Total,Other tuberculosis (A17-A19),1,N/A,276
Divorced,2020 **,Other tuberculosis (A17-A19),0,N/A,279
Divorced,2021 **,Other tuberculosis (A17-A19),0,N/A,282
Divorced,Total,Other tuberculosis (A17-A19),0,N/A,285
Never Married,2020 **,Other tuberculosis (A17-A19),1,N/A,288
Never Married,2021 **,Other tuberculosis (A17-A19),0,N/A,291
Never Married,Total,Other tuberculosis (A17-A19),1,N/A,294
Unknown,2020 **,Other tuberculosis (A17-A19),0,N/A,297
Unknown,2021 **,Other tuberculosis (A17-A19),0,N/A,300
Unknown,Total,Other tuberculosis (A17-A19),0,N/A,303
Total,2020 **,Other tuberculosis (A17-A19),6,N/A,306
Total,2021 **,Other tuberculosis (A17-A19),0,N/A,309
Total,Total,Other tuberculosis (A17-A19),6,N/A,312
Married,2020 **,Whooping cough (A37),0,N/A,315
Married,2021 **,Whooping cough (A37),0,N/A,318
Married,Total,Whooping cough (A37),0,N/A,321
Married but Separated,2020 **,Whooping cough (A37),0,N/A,324
Married but Separated,2021 **,Whooping cough (A37),0,N/A,327
Married but Separated,Total,Whooping cough (A37),0,N/A,330
Widowed,2020 **,Whooping cough (A37),0,N/A,333
Widowed,2021 **,Whooping cough (A37),0,N/A,336
Widowed,Total,Whooping cough (A37),0,N/A,339
Divorced,2020 **,Whooping cough (A37),0,N/A,342
Divorced,2021 **,Whooping cough (A37),0,N/A,345
Divorced,Total,Whooping cough (A37),0,N/A,348
Never Married,2020 **,Whooping cough (A37),1,N/A,351
Never Married,2021 **,Whooping cough (A37),0,N/A,354
Never Married,Total,Whooping cough (A37),1,N/A,357
Unknown,2020 **,Whooping cough (A37),0,N/A,360
Unknown,2021 **,Whooping cough (A37),0,N/A,363
Unknown,Total,Whooping cough (A37),0,N/A,366
Total,2020 **,Whooping cough (A37),1,N/A,369
Total,2021 **,Whooping cough (A37),0,N/A,372
Total,Total,Whooping cough (A37),1,N/A,375
Married,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,378
Married,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,381
Married,Total,Scarlet fever and erysipelas (A38A46),0,N/A,384
Married but Separated,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,387
Married but Separated,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,390
Married but Separated,Total,Scarlet fever and erysipelas (A38A46),0,N/A,393
Widowed,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,396
Widowed,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,399
Widowed,Total,Scarlet fever and erysipelas (A38A46),0,N/A,402
Divorced,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,405
Divorced,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,408
Divorced,Total,Scarlet fever and erysipelas (A38A46),0,N/A,411
Never Married,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,414
Never Married,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,417
Never Married,Total,Scarlet fever and erysipelas (A38A46),0,N/A,420
Unknown,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,423
Unknown,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,426
Unknown,Total,Scarlet fever and erysipelas (A38A46),0,N/A,429
Total,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,432
Total,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,435
Total,Total,Scarlet fever and erysipelas (A38A46),0,N/A,438
Married,2020 **,Meningococcal infection (A39),0,N/A,441
Married,2021 **,Meningococcal infection (A39),0,N/A,444
Married,Total,Meningococcal infection (A39),0,N/A,447
Married but Separated,2020 **,Meningococcal infection (A39),0,N/A,450
Married but Separated,2021 **,Meningococcal infection (A39),0,N/A,453
Married but Separated,Total,Meningococcal infection (A39),0,N/A,456
Widowed,2020 **,Meningococcal infection (A39),0,N/A,459
Widowed,2021 **,Meningococcal infection (A39),0,N/A,462
Widowed,Total,Meningococcal infection (A39),0,N/A,465
Divorced,2020 **,Meningococcal infection (A39),0,N/A,468
Divorced,2021 **,Meningococcal infection (A39),0,N/A,471
Divorced,Total,Meningococcal infection (A39),0,N/A,474
Never Married,2020 **,Meningococcal infection (A39),1,N/A,477
Never Married,2021 **,Meningococcal infection (A39),0,N/A,480
Never Married,Total,Meningococcal infection (A39),1,N/A,483
Unknown,2020 **,Meningococcal infection (A39),0,N/A,486
Unknown,2021 **,Meningococcal infection (A39),0,N/A,489
Unknown,Total,Meningococcal infection (A39),0,N/A,492
Total,2020 **,Meningococcal infection (A39),1,N/A,495
Total,2021 **,Meningococcal infection (A39),0,N/A,498
Total,Total,Meningococcal infection (A39),1,N/A,501
Married,2020 **,Septicemia (A40-A41),679,4.4,504
Married,2021 **,Septicemia (A40-A41),1,N/A,507
Married,Total,Septicemia (A40-A41),680,2.2,510
Married but Separated,2020 **,Septicemia (A40-A41),5,N/A,513
Married but Separated,2021 **,Septicemia (A40-A41),0,N/A,516
Married but Separated,Total,Septicemia (A40-A41),5,N/A,519
Widowed,2020 **,Septicemia (A40-A41),575,3.7,522
Widowed,2021 **,Septicemia (A40-A41),0,N/A,525
Widowed,Total,Septicemia (A40-A41),575,1.8,528
Divorced,2020 **,Septicemia (A40-A41),337,2.2,531
Divorced,2021 **,Septicemia (A40-A41),1,N/A,534
Divorced,Total,Septicemia (A40-A41),338,1.1,537
Never Married,2020 **,Septicemia (A40-A41),271,1.9,540
Never Married,2021 **,Septicemia (A40-A41),1,N/A,543
Never Married,Total,Septicemia (A40-A41),272,1.0,546
Unknown,2020 **,Septicemia (A40-A41),10,0.1,549
Unknown,2021 **,Septicemia (A40-A41),0,N/A,552
Unknown,Total,Septicemia (A40-A41),10,0.0,555
Total,2020 **,Septicemia (A40-A41),1877,12.3,558
Total,2021 **,Septicemia (A40-A41),3,N/A,561
Total,Total,Septicemia (A40-A41),1880,6.2,564
Married,2020 **,Syphilis ((A50-A53),1,N/A,567
Married,2021 **,Syphilis ((A50-A53),0,N/A,570
Married,Total,Syphilis ((A50-A53),1,N/A,573
Married but Separated,2020 **,Syphilis ((A50-A53),0,N/A,576
Married but Separated,2021 **,Syphilis ((A50-A53),0,N/A,579
Married but Separated,Total,Syphilis ((A50-A53),0,N/A,582
Widowed,2020 **,Syphilis ((A50-A53),0,N/A,585
Widowed,2021 **,Syphilis ((A50-A53),0,N/A,588
Widowed,Total,Syphilis ((A50-A53),0,N/A,591
Divorced,2020 **,Syphilis ((A50-A53),0,N/A,594
Divorced,2021 **,Syphilis ((A50-A53),0,N/A,597
Divorced,Total,Syphilis ((A50-A53),0,N/A,600
Never Married,2020 **,Syphilis ((A50-A53),0,N/A,603
Never Married,2021 **,Syphilis ((A50-A53),0,N/A,606
Never Married,Total,Syphilis ((A50-A53),0,N/A,609
Unknown,2020 **,Syphilis ((A50-A53),0,N/A,612
Unknown,2021 **,Syphilis ((A50-A53),0,N/A,615
Unknown,Total,Syphilis ((A50-A53),0,N/A,618
Total,2020 **,Syphilis ((A50-A53),1,N/A,621
Total,2021 **,Syphilis ((A50-A53),0,N/A,624
Total,Total,Syphilis ((A50-A53),1,N/A,627
Married,2020 **,Acute poliomyelitis (A80),0,N/A,630
Married,2021 **,Acute poliomyelitis (A80),0,N/A,633
Married,Total,Acute poliomyelitis (A80),0,N/A,636
Married but Separated,2020 **,Acute poliomyelitis (A80),0,N/A,639
Married but Separated,2021 **,Acute poliomyelitis (A80),0,N/A,642
Married but Separated,Total,Acute poliomyelitis (A80),0,N/A,645
Widowed,2020 **,Acute poliomyelitis (A80),0,N/A,648
Widowed,2021 **,Acute poliomyelitis (A80),0,N/A,651
Widowed,Total,Acute poliomyelitis (A80),0,N/A,654
Divorced,2020 **,Acute poliomyelitis (A80),0,N/A,657
Divorced,2021 **,Acute poliomyelitis (A80),0,N/A,660
Divorced,Total,Acute poliomyelitis (A80),0,N/A,663
Never Married,2020 **,Acute poliomyelitis (A80),0,N/A,666
Never Married,2021 **,Acute poliomyelitis (A80),0,N/A,669
Never Married,Total,Acute poliomyelitis (A80),0,N/A,672
Unknown,2020 **,Acute poliomyelitis (A80),0,N/A,675
Unknown,2021 **,Acute poliomyelitis (A80),0,N/A,678
Unknown,Total,Acute poliomyelitis (A80),0,N/A,681
Total,2020 **,Acute poliomyelitis (A80),0,N/A,684
Total,2021 **,Acute poliomyelitis (A80),0,N/A,687
Total,Total,Acute poliomyelitis (A80),0,N/A,690
Married,2020 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,693
Married,2021 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,696
Married,Total,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,699
Married but Separated,2020 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,702
Married but Separated,2021 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,705
Married but Separated,Total,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,708
Widowed,2020 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,711
Widowed,2021 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,714
Widowed,Total,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,717
Divorced,2020 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,720
Divorced,2021 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,723
Divorced,Total,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,726
Never Married,2020 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,729
Never Married,2021 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,732
Never Married,Total,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,735
Unknown,2020 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,738
Unknown,2021 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,741
Unknown,Total,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,744
Total,2020 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,747
Total,2021 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,750
Total,Total,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,753
Married,2020 **,Viral hepatitis (B15-B19),25,0.2,756
Married,2021 **,Viral hepatitis (B15-B19),0,N/A,759
Married,Total,Viral hepatitis (B15-B19),25,0.1,762
Married but Separated,2020 **,Viral hepatitis (B15-B19),1,N/A,765
Married but Separated,2021 **,Viral hepatitis (B15-B19),0,N/A,768
Married but Separated,Total,Viral hepatitis (B15-B19),1,N/A,771
Widowed,2020 **,Viral hepatitis (B15-B19),14,0.1,774
Widowed,2021 **,Viral hepatitis (B15-B19),0,N/A,777
Widowed,Total,Viral hepatitis (B15-B19),14,0.0,780
Divorced,2020 **,Viral hepatitis (B15-B19),28,0.2,783
Divorced,2021 **,Viral hepatitis (B15-B19),0,N/A,786
Divorced,Total,Viral hepatitis (B15-B19),28,0.1,789
Never Married,2020 **,Viral hepatitis (B15-B19),26,0.2,792
Never Married,2021 **,Viral hepatitis (B15-B19),0,N/A,795
Never Married,Total,Viral hepatitis (B15-B19),26,0.1,798
Unknown,2020 **,Viral hepatitis (B15-B19),3,N/A,801
Unknown,2021 **,Viral hepatitis (B15-B19),0,N/A,804
Unknown,Total,Viral hepatitis (B15-B19),3,N/A,807
Total,2020 **,Viral hepatitis (B15-B19),97,0.7,810
Total,2021 **,Viral hepatitis (B15-B19),0,N/A,813
Total,Total,Viral hepatitis (B15-B19),97,0.3,816
Married,2020 **,Human immunodeficiency virus (HIV) disease (B20-B24),7,N/A,819
Married,2021 **,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,822
Married,Total,Human immunodeficiency virus (HIV) disease (B20-B24),7,N/A,825
Married but Separated,2020 **,Human immunodeficiency virus (HIV) disease (B20-B24),1,N/A,828
Married but Separated,2021 **,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,831
Married but Separated,Total,Human immunodeficiency virus (HIV) disease (B20-B24),1,N/A,834
Widowed,2020 **,Human immunodeficiency virus (HIV) disease (B20-B24),1,N/A,837
Widowed,2021 **,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,840
Widowed,Total,Human immunodeficiency virus (HIV) disease (B20-B24),1,N/A,843
Divorced,2020 **,Human immunodeficiency virus (HIV) disease (B20-B24),15,0.1,846
Divorced,2021 **,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,849
Divorced,Total,Human immunodeficiency virus (HIV) disease (B20-B24),15,0.1,852
Never Married,2020 **,Human immunodeficiency virus (HIV) disease (B20-B24),60,0.5,855
Never Married,2021 **,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,858
Never Married,Total,Human immunodeficiency virus (HIV) disease (B20-B24),60,0.2,861
Unknown,2020 **,Human immunodeficiency virus (HIV) disease (B20-B24),2,N/A,864
Unknown,2021 **,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,867
Unknown,Total,Human immunodeficiency virus (HIV) disease (B20-B24),2,N/A,870
Total,2020 **,Human immunodeficiency virus (HIV) disease (B20-B24),86,0.7,873
Total,2021 **,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,876
Total,Total,Human immunodeficiency virus (HIV) disease (B20-B24),86,0.3,879
Married,2020 **,Malaria (B50-B54),0,N/A,882
Married,2021 **,Malaria (B50-B54),0,N/A,885
Married,Total,Malaria (B50-B54),0,N/A,888
Married but Separated,2020 **,Malaria (B50-B54),0,N/A,891
Married but Separated,2021 **,Malaria (B50-B54),0,N/A,894
Married but Separated,Total,Malaria (B50-B54),0,N/A,897
Widowed,2020 **,Malaria (B50-B54),0,N/A,900
Widowed,2021 **,Malaria (B50-B54),0,N/A,903
Widowed,Total,Malaria (B50-B54),0,N/A,906
Divorced,2020 **,Malaria (B50-B54),0,N/A,909
Divorced,2021 **,Malaria (B50-B54),0,N/A,912
Divorced,Total,Malaria (B50-B54),0,N/A,915
Never Married,2020 **,Malaria (B50-B54),0,N/A,918
Never Married,2021 **,Malaria (B50-B54),0,N/A,921
Never Married,Total,Malaria (B50-B54),0,N/A,924
Unknown,2020 **,Malaria (B50-B54),0,N/A,927
Unknown,2021 **,Malaria (B50-B54),0,N/A,930
Unknown,Total,Malaria (B50-B54),0,N/A,933
Total,2020 **,Malaria (B50-B54),0,N/A,936
Total,2021 **,Malaria (B50-B54),0,N/A,939
Total,Total,Malaria (B50-B54),0,N/A,942
Married,2020 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),146,1.0,945
Married,2021 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,948
Married,Total,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),146,0.5,951
Married but Separated,2020 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,954
Married but Separated,2021 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,957
Married but Separated,Total,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,960
Widowed,2020 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),90,0.6,963
Widowed,2021 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,966
Widowed,Total,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),90,0.3,969
Divorced,2020 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),69,0.5,972
Divorced,2021 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,975
Divorced,Total,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),69,0.2,978
Never Married,2020 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),62,0.5,981
Never Married,2021 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,984
Never Married,Total,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),62,0.2,987
Unknown,2020 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),3,N/A,990
Unknown,2021 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,993
Unknown,Total,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),3,N/A,996
Total,2020 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),370,2.5,999
Total,2021 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,1002
Total,Total,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),370,1.3,1005
Married,2020 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),190,1.2,1008
Married,2021 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,1011
Married,Total,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),190,0.6,1014
Married but Separated,2020 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),5,N/A,1017
Married but Separated,2021 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,1020
Married but Separated,Total,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),5,N/A,1023
Widowed,2020 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),71,0.5,1026
Widowed,2021 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,1029
Widowed,Total,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),71,0.2,1032
Divorced,2020 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),130,0.8,1035
Divorced,2021 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,1038
Divorced,Total,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),130,0.4,1041
Never Married,2020 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),52,0.3,1044
Never Married,2021 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),1,N/A,1047
Never Married,Total,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),53,0.2,1050
Unknown,2020 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),3,N/A,1053
Unknown,2021 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,1056
Unknown,Total,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),3,N/A,1059
Total,2020 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),451,2.9,1062
Total,2021 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),1,N/A,1065
Total,Total,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),452,1.4,1068
Married,2020 **,Malignant neoplasm of esophagus (C15),340,2.1,1071
Married,2021 **,Malignant neoplasm of esophagus (C15),1,N/A,1074
Married,Total,Malignant neoplasm of esophagus (C15),341,1.1,1077
Married but Separated,2020 **,Malignant neoplasm of esophagus (C15),5,N/A,1080
Married but Separated,2021 **,Malignant neoplasm of esophagus (C15),0,N/A,1083
Married but Separated,Total,Malignant neoplasm of esophagus (C15),5,N/A,1086
Widowed,2020 **,Malignant neoplasm of esophagus (C15),97,0.6,1089
Widowed,2021 **,Malignant neoplasm of esophagus (C15),1,N/A,1092
