DeathEthnicityEthnicityDesc,DeathYearYear,DeathCOD358ICDCode358Desc,Deaths,DeathAgeAdjustedRate11,SORT
Non-Hispanic,2020 **,Respiratory tuberculosis(A16),8,N/A,225
Non-Hispanic,2021 **,Respiratory tuberculosis(A16),0,N/A,228
Non-Hispanic,Total,Respiratory tuberculosis(A16),8,N/A,231
Unknown,2020 **,Respiratory tuberculosis(A16),0,N/A,234
Unknown,2021 **,Respiratory tuberculosis(A16),0,N/A,237
Unknown,Total,Respiratory tuberculosis(A16),0,N/A,240
Total,2020 **,Respiratory tuberculosis(A16),8,N/A,243
Total,2021 **,Respiratory tuberculosis(A16),0,N/A,246
Total,Total,Respiratory tuberculosis(A16),8,N/A,249
Hispanic,2020 **,Other tuberculosis (A17-A19),0,N/A,252
Hispanic,2021 **,Other tuberculosis (A17-A19),0,N/A,255
Hispanic,Total,Other tuberculosis (A17-A19),0,N/A,258
Non-Hispanic,2020 **,Other tuberculosis (A17-A19),6,N/A,261
Non-Hispanic,2021 **,Other tuberculosis (A17-A19),0,N/A,264
Non-Hispanic,Total,Other tuberculosis (A17-A19),6,N/A,267
Unknown,2020 **,Other tuberculosis (A17-A19),0,N/A,270
Unknown,2021 **,Other tuberculosis (A17-A19),0,N/A,273
Unknown,Total,Other tuberculosis (A17-A19),0,N/A,276
Total,2020 **,Other tuberculosis (A17-A19),6,N/A,279
Total,2021 **,Other tuberculosis (A17-A19),0,N/A,282
Total,Total,Other tuberculosis (A17-A19),6,N/A,285
Hispanic,2020 **,Tetanus(A33-A35),0,N/A,288
Hispanic,2021 **,Tetanus(A33-A35),0,N/A,291
Hispanic,Total,Tetanus(A33-A35),0,N/A,294
Non-Hispanic,2020 **,Tetanus(A33-A35),0,N/A,297
Non-Hispanic,2021 **,Tetanus(A33-A35),0,N/A,300
Non-Hispanic,Total,Tetanus(A33-A35),0,N/A,303
Unknown,2020 **,Tetanus(A33-A35),0,N/A,306
Unknown,2021 **,Tetanus(A33-A35),0,N/A,309
Unknown,Total,Tetanus(A33-A35),0,N/A,312
Total,2020 **,Tetanus(A33-A35),0,N/A,315
Total,2021 **,Tetanus(A33-A35),0,N/A,318
Total,Total,Tetanus(A33-A35),0,N/A,321
Hispanic,2020 **,Whooping cough (A37),0,N/A,324
Hispanic,2021 **,Whooping cough (A37),0,N/A,327
Hispanic,Total,Whooping cough (A37),0,N/A,330
Non-Hispanic,2020 **,Whooping cough (A37),1,N/A,333
Non-Hispanic,2021 **,Whooping cough (A37),0,N/A,336
Non-Hispanic,Total,Whooping cough (A37),1,N/A,339
Unknown,2020 **,Whooping cough (A37),0,N/A,342
Unknown,2021 **,Whooping cough (A37),0,N/A,345
Unknown,Total,Whooping cough (A37),0,N/A,348
Total,2020 **,Whooping cough (A37),1,N/A,351
Total,2021 **,Whooping cough (A37),0,N/A,354
Total,Total,Whooping cough (A37),1,N/A,357
Hispanic,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,360
Hispanic,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,363
Hispanic,Total,Scarlet fever and erysipelas (A38A46),0,N/A,366
Non-Hispanic,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,369
Non-Hispanic,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,372
Non-Hispanic,Total,Scarlet fever and erysipelas (A38A46),0,N/A,375
Unknown,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,378
Unknown,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,381
Unknown,Total,Scarlet fever and erysipelas (A38A46),0,N/A,384
Total,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,387
Total,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,390
Total,Total,Scarlet fever and erysipelas (A38A46),0,N/A,393
Hispanic,2020 **,Meningococcal infection(A39),0,N/A,396
Hispanic,2021 **,Meningococcal infection(A39),0,N/A,399
Hispanic,Total,Meningococcal infection(A39),0,N/A,402
Non-Hispanic,2020 **,Meningococcal infection(A39),1,N/A,405
Non-Hispanic,2021 **,Meningococcal infection(A39),0,N/A,408
Non-Hispanic,Total,Meningococcal infection(A39),1,N/A,411
Unknown,2020 **,Meningococcal infection(A39),0,N/A,414
Unknown,2021 **,Meningococcal infection(A39),0,N/A,417
Unknown,Total,Meningococcal infection(A39),0,N/A,420
Total,2020 **,Meningococcal infection(A39),1,N/A,423
Total,2021 **,Meningococcal infection(A39),0,N/A,426
Total,Total,Meningococcal infection(A39),1,N/A,429
Hispanic,2020 **,Septicemia (A40-A41),21,6.9,432
Hispanic,2021 **,Septicemia (A40-A41),0,N/A,435
Hispanic,Total,Septicemia (A40-A41),21,3.5,438
Non-Hispanic,2020 **,Septicemia (A40-A41),1855,12.4,441
Non-Hispanic,2021 **,Septicemia (A40-A41),3,N/A,444
Non-Hispanic,Total,Septicemia (A40-A41),1858,6.2,447
Unknown,2020 **,Septicemia (A40-A41),1,N/A,450
Unknown,2021 **,Septicemia (A40-A41),0,N/A,453
Unknown,Total,Septicemia (A40-A41),1,N/A,456
Total,2020 **,Septicemia (A40-A41),1877,12.3,459
Total,2021 **,Septicemia (A40-A41),3,N/A,462
Total,Total,Septicemia (A40-A41),1880,6.2,465
Hispanic,2020 **,Other zoonotic and bacterial diseases (A21-A22A24-A32A42-A44A48-A49),1,N/A,468
Hispanic,2021 **,Other zoonotic and bacterial diseases (A21-A22A24-A32A42-A44A48-A49),0,N/A,471
Hispanic,Total,Other zoonotic and bacterial diseases (A21-A22A24-A32A42-A44A48-A49),1,N/A,474
Non-Hispanic,2020 **,Other zoonotic and bacterial diseases (A21-A22A24-A32A42-A44A48-A49),125,0.9,477
Non-Hispanic,2021 **,Other zoonotic and bacterial diseases (A21-A22A24-A32A42-A44A48-A49),0,N/A,480
Non-Hispanic,Total,Other zoonotic and bacterial diseases (A21-A22A24-A32A42-A44A48-A49),125,0.4,483
Unknown,2020 **,Other zoonotic and bacterial diseases (A21-A22A24-A32A42-A44A48-A49),0,N/A,486
Unknown,2021 **,Other zoonotic and bacterial diseases (A21-A22A24-A32A42-A44A48-A49),0,N/A,489
Unknown,Total,Other zoonotic and bacterial diseases (A21-A22A24-A32A42-A44A48-A49),0,N/A,492
Total,2020 **,Other zoonotic and bacterial diseases (A21-A22A24-A32A42-A44A48-A49),126,0.9,495
Total,2021 **,Other zoonotic and bacterial diseases (A21-A22A24-A32A42-A44A48-A49),0,N/A,498
Total,Total,Other zoonotic and bacterial diseases (A21-A22A24-A32A42-A44A48-A49),126,0.4,501
Hispanic,2020 **,Cardiovascular syphilis (A52.0),0,N/A,504
Hispanic,2021 **,Cardiovascular syphilis (A52.0),0,N/A,507
Hispanic,Total,Cardiovascular syphilis (A52.0),0,N/A,510
Non-Hispanic,2020 **,Cardiovascular syphilis (A52.0),0,N/A,513
Non-Hispanic,2021 **,Cardiovascular syphilis (A52.0),0,N/A,516
Non-Hispanic,Total,Cardiovascular syphilis (A52.0),0,N/A,519
Unknown,2020 **,Cardiovascular syphilis (A52.0),0,N/A,522
Unknown,2021 **,Cardiovascular syphilis (A52.0),0,N/A,525
Unknown,Total,Cardiovascular syphilis (A52.0),0,N/A,528
Total,2020 **,Cardiovascular syphilis (A52.0),0,N/A,531
Total,2021 **,Cardiovascular syphilis (A52.0),0,N/A,534
Total,Total,Cardiovascular syphilis (A52.0),0,N/A,537
Hispanic,2020 **,Neurosyphilis(A52.1-A52.3),0,N/A,540
Hispanic,2021 **,Neurosyphilis(A52.1-A52.3),0,N/A,543
Hispanic,Total,Neurosyphilis(A52.1-A52.3),0,N/A,546
Non-Hispanic,2020 **,Neurosyphilis(A52.1-A52.3),1,N/A,549
Non-Hispanic,2021 **,Neurosyphilis(A52.1-A52.3),0,N/A,552
Non-Hispanic,Total,Neurosyphilis(A52.1-A52.3),1,N/A,555
Unknown,2020 **,Neurosyphilis(A52.1-A52.3),0,N/A,558
Unknown,2021 **,Neurosyphilis(A52.1-A52.3),0,N/A,561
Unknown,Total,Neurosyphilis(A52.1-A52.3),0,N/A,564
Total,2020 **,Neurosyphilis(A52.1-A52.3),1,N/A,567
Total,2021 **,Neurosyphilis(A52.1-A52.3),0,N/A,570
Total,Total,Neurosyphilis(A52.1-A52.3),1,N/A,573
Hispanic,2020 **,Other and unspecified syphilis (A50-A51A52.7-A52.9A53),0,N/A,576
Hispanic,2021 **,Other and unspecified syphilis (A50-A51A52.7-A52.9A53),0,N/A,579
Hispanic,Total,Other and unspecified syphilis (A50-A51A52.7-A52.9A53),0,N/A,582
Non-Hispanic,2020 **,Other and unspecified syphilis (A50-A51A52.7-A52.9A53),0,N/A,585
Non-Hispanic,2021 **,Other and unspecified syphilis (A50-A51A52.7-A52.9A53),0,N/A,588
Non-Hispanic,Total,Other and unspecified syphilis (A50-A51A52.7-A52.9A53),0,N/A,591
Unknown,2020 **,Other and unspecified syphilis (A50-A51A52.7-A52.9A53),0,N/A,594
Unknown,2021 **,Other and unspecified syphilis (A50-A51A52.7-A52.9A53),0,N/A,597
Unknown,Total,Other and unspecified syphilis (A50-A51A52.7-A52.9A53),0,N/A,600
Total,2020 **,Other and unspecified syphilis (A50-A51A52.7-A52.9A53),0,N/A,603
Total,2021 **,Other and unspecified syphilis (A50-A51A52.7-A52.9A53),0,N/A,606
Total,Total,Other and unspecified syphilis (A50-A51A52.7-A52.9A53),0,N/A,609
Hispanic,2020 **,Gonococcal infection (A54),0,N/A,612
Hispanic,2021 **,Gonococcal infection (A54),0,N/A,615
Hispanic,Total,Gonococcal infection (A54),0,N/A,618
Non-Hispanic,2020 **,Gonococcal infection (A54),0,N/A,621
Non-Hispanic,2021 **,Gonococcal infection (A54),0,N/A,624
Non-Hispanic,Total,Gonococcal infection (A54),0,N/A,627
Unknown,2020 **,Gonococcal infection (A54),0,N/A,630
Unknown,2021 **,Gonococcal infection (A54),0,N/A,633
Unknown,Total,Gonococcal infection (A54),0,N/A,636
Total,2020 **,Gonococcal infection (A54),0,N/A,639
Total,2021 **,Gonococcal infection (A54),0,N/A,642
Total,Total,Gonococcal infection (A54),0,N/A,645
Hispanic,2020 **,Other infections with a predominately sexual mode of transmission (A55-A64),0,N/A,648
Hispanic,2021 **,Other infections with a predominately sexual mode of transmission (A55-A64),0,N/A,651
Hispanic,Total,Other infections with a predominately sexual mode of transmission (A55-A64),0,N/A,654
Non-Hispanic,2020 **,Other infections with a predominately sexual mode of transmission (A55-A64),0,N/A,657
Non-Hispanic,2021 **,Other infections with a predominately sexual mode of transmission (A55-A64),0,N/A,660
Non-Hispanic,Total,Other infections with a predominately sexual mode of transmission (A55-A64),0,N/A,663
Unknown,2020 **,Other infections with a predominately sexual mode of transmission (A55-A64),0,N/A,666
Unknown,2021 **,Other infections with a predominately sexual mode of transmission (A55-A64),0,N/A,669
Unknown,Total,Other infections with a predominately sexual mode of transmission (A55-A64),0,N/A,672
Total,2020 **,Other infections with a predominately sexual mode of transmission (A55-A64),0,N/A,675
Total,2021 **,Other infections with a predominately sexual mode of transmission (A55-A64),0,N/A,678
Total,Total,Other infections with a predominately sexual mode of transmission (A55-A64),0,N/A,681
Hispanic,2020 **,Lyme disease (A69.2),0,N/A,684
Hispanic,2021 **,Lyme disease (A69.2),0,N/A,687
Hispanic,Total,Lyme disease (A69.2),0,N/A,690
Non-Hispanic,2020 **,Lyme disease (A69.2),0,N/A,693
Non-Hispanic,2021 **,Lyme disease (A69.2),0,N/A,696
Non-Hispanic,Total,Lyme disease (A69.2),0,N/A,699
Unknown,2020 **,Lyme disease (A69.2),0,N/A,702
Unknown,2021 **,Lyme disease (A69.2),0,N/A,705
Unknown,Total,Lyme disease (A69.2),0,N/A,708
Total,2020 **,Lyme disease (A69.2),0,N/A,711
Total,2021 **,Lyme disease (A69.2),0,N/A,714
Total,Total,Lyme disease (A69.2),0,N/A,717
Hispanic,2020 **,All other infections caused by spirochetes chlamydia or rickettsia (A65-A68A69.0-A69.1A69.8-A69.9A70-A74A77-A79),0,N/A,720
Hispanic,2021 **,All other infections caused by spirochetes chlamydia or rickettsia (A65-A68A69.0-A69.1A69.8-A69.9A70-A74A77-A79),0,N/A,723
Hispanic,Total,All other infections caused by spirochetes chlamydia or rickettsia (A65-A68A69.0-A69.1A69.8-A69.9A70-A74A77-A79),0,N/A,726
Non-Hispanic,2020 **,All other infections caused by spirochetes chlamydia or rickettsia (A65-A68A69.0-A69.1A69.8-A69.9A70-A74A77-A79),2,N/A,729
Non-Hispanic,2021 **,All other infections caused by spirochetes chlamydia or rickettsia (A65-A68A69.0-A69.1A69.8-A69.9A70-A74A77-A79),0,N/A,732
Non-Hispanic,Total,All other infections caused by spirochetes chlamydia or rickettsia (A65-A68A69.0-A69.1A69.8-A69.9A70-A74A77-A79),2,N/A,735
Unknown,2020 **,All other infections caused by spirochetes chlamydia or rickettsia (A65-A68A69.0-A69.1A69.8-A69.9A70-A74A77-A79),0,N/A,738
Unknown,2021 **,All other infections caused by spirochetes chlamydia or rickettsia (A65-A68A69.0-A69.1A69.8-A69.9A70-A74A77-A79),0,N/A,741
Unknown,Total,All other infections caused by spirochetes chlamydia or rickettsia (A65-A68A69.0-A69.1A69.8-A69.9A70-A74A77-A79),0,N/A,744
Total,2020 **,All other infections caused by spirochetes chlamydia or rickettsia (A65-A68A69.0-A69.1A69.8-A69.9A70-A74A77-A79),2,N/A,747
Total,2021 **,All other infections caused by spirochetes chlamydia or rickettsia (A65-A68A69.0-A69.1A69.8-A69.9A70-A74A77-A79),0,N/A,750
Total,Total,All other infections caused by spirochetes chlamydia or rickettsia (A65-A68A69.0-A69.1A69.8-A69.9A70-A74A77-A79),2,N/A,753
Hispanic,2020 **,Acute poliomyelitis(A80),0,N/A,756
Hispanic,2021 **,Acute poliomyelitis(A80),0,N/A,759
Hispanic,Total,Acute poliomyelitis(A80),0,N/A,762
Non-Hispanic,2020 **,Acute poliomyelitis(A80),0,N/A,765
Non-Hispanic,2021 **,Acute poliomyelitis(A80),0,N/A,768
Non-Hispanic,Total,Acute poliomyelitis(A80),0,N/A,771
Unknown,2020 **,Acute poliomyelitis(A80),0,N/A,774
Unknown,2021 **,Acute poliomyelitis(A80),0,N/A,777
Unknown,Total,Acute poliomyelitis(A80),0,N/A,780
Total,2020 **,Acute poliomyelitis(A80),0,N/A,783
Total,2021 **,Acute poliomyelitis(A80),0,N/A,786
Total,Total,Acute poliomyelitis(A80),0,N/A,789
Hispanic,2020 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,792
Hispanic,2021 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,795
Hispanic,Total,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,798
Non-Hispanic,2020 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,801
Non-Hispanic,2021 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,804
Non-Hispanic,Total,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,807
Unknown,2020 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,810
Unknown,2021 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,813
Unknown,Total,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,816
Total,2020 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,819
Total,2021 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,822
Total,Total,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,825
Hispanic,2020 **,Other and unspecified arthropod-borne viral and hemorrhagic fevers(A90-A94A96-A99),0,N/A,828
Hispanic,2021 **,Other and unspecified arthropod-borne viral and hemorrhagic fevers(A90-A94A96-A99),0,N/A,831
Hispanic,Total,Other and unspecified arthropod-borne viral and hemorrhagic fevers(A90-A94A96-A99),0,N/A,834
Non-Hispanic,2020 **,Other and unspecified arthropod-borne viral and hemorrhagic fevers(A90-A94A96-A99),0,N/A,837
Non-Hispanic,2021 **,Other and unspecified arthropod-borne viral and hemorrhagic fevers(A90-A94A96-A99),0,N/A,840
Non-Hispanic,Total,Other and unspecified arthropod-borne viral and hemorrhagic fevers(A90-A94A96-A99),0,N/A,843
Unknown,2020 **,Other and unspecified arthropod-borne viral and hemorrhagic fevers(A90-A94A96-A99),0,N/A,846
Unknown,2021 **,Other and unspecified arthropod-borne viral and hemorrhagic fevers(A90-A94A96-A99),0,N/A,849
Unknown,Total,Other and unspecified arthropod-borne viral and hemorrhagic fevers(A90-A94A96-A99),0,N/A,852
Total,2020 **,Other and unspecified arthropod-borne viral and hemorrhagic fevers(A90-A94A96-A99),0,N/A,855
Total,2021 **,Other and unspecified arthropod-borne viral and hemorrhagic fevers(A90-A94A96-A99),0,N/A,858
Total,Total,Other and unspecified arthropod-borne viral and hemorrhagic fevers(A90-A94A96-A99),0,N/A,861
Hispanic,2020 **,Herpesviral (herpes simplex) infections (B00),0,N/A,864
Hispanic,2021 **,Herpesviral (herpes simplex) infections (B00),0,N/A,867
Hispanic,Total,Herpesviral (herpes simplex) infections (B00),0,N/A,870
Non-Hispanic,2020 **,Herpesviral (herpes simplex) infections (B00),5,N/A,873
Non-Hispanic,2021 **,Herpesviral (herpes simplex) infections (B00),0,N/A,876
Non-Hispanic,Total,Herpesviral (herpes simplex) infections (B00),5,N/A,879
Unknown,2020 **,Herpesviral (herpes simplex) infections (B00),0,N/A,882
Unknown,2021 **,Herpesviral (herpes simplex) infections (B00),0,N/A,885
Unknown,Total,Herpesviral (herpes simplex) infections (B00),0,N/A,888
Total,2020 **,Herpesviral (herpes simplex) infections (B00),5,N/A,891
Total,2021 **,Herpesviral (herpes simplex) infections (B00),0,N/A,894
Total,Total,Herpesviral (herpes simplex) infections (B00),5,N/A,897
Hispanic,2020 **,Zoster (herpes zoster) (B02),0,N/A,900
Hispanic,2021 **,Zoster (herpes zoster) (B02),0,N/A,903
Hispanic,Total,Zoster (herpes zoster) (B02),0,N/A,906
Non-Hispanic,2020 **,Zoster (herpes zoster) (B02),5,N/A,909
Non-Hispanic,2021 **,Zoster (herpes zoster) (B02),0,N/A,912
Non-Hispanic,Total,Zoster (herpes zoster) (B02),5,N/A,915
Unknown,2020 **,Zoster (herpes zoster) (B02),0,N/A,918
Unknown,2021 **,Zoster (herpes zoster) (B02),0,N/A,921
Unknown,Total,Zoster (herpes zoster) (B02),0,N/A,924
Total,2020 **,Zoster (herpes zoster) (B02),5,N/A,927
Total,2021 **,Zoster (herpes zoster) (B02),0,N/A,930
Total,Total,Zoster (herpes zoster) (B02),5,N/A,933
Hispanic,2020 **,Viral hepatitis(B15-B19),3,N/A,936
Hispanic,2021 **,Viral hepatitis(B15-B19),0,N/A,939
Hispanic,Total,Viral hepatitis(B15-B19),3,N/A,942
Non-Hispanic,2020 **,Viral hepatitis(B15-B19),94,0.6,945
Non-Hispanic,2021 **,Viral hepatitis(B15-B19),0,N/A,948
Non-Hispanic,Total,Viral hepatitis(B15-B19),94,0.3,951
Unknown,2020 **,Viral hepatitis(B15-B19),0,N/A,954
Unknown,2021 **,Viral hepatitis(B15-B19),0,N/A,957
Unknown,Total,Viral hepatitis(B15-B19),0,N/A,960
Total,2020 **,Viral hepatitis(B15-B19),97,0.7,963
Total,2021 **,Viral hepatitis(B15-B19),0,N/A,966
Total,Total,Viral hepatitis(B15-B19),97,0.3,969
Hispanic,2020 **,Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases (B20),1,N/A,972
Hispanic,2021 **,Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases (B20),0,N/A,975
Hispanic,Total,Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases (B20),1,N/A,978
Non-Hispanic,2020 **,Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases (B20),31,0.3,981
Non-Hispanic,2021 **,Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases (B20),0,N/A,984
Non-Hispanic,Total,Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases (B20),31,0.1,987
Unknown,2020 **,Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases (B20),0,N/A,990
Unknown,2021 **,Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases (B20),0,N/A,993
Unknown,Total,Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases (B20),0,N/A,996
Total,2020 **,Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases (B20),32,0.3,999
Total,2021 **,Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases (B20),0,N/A,1002
Total,Total,Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases (B20),32,0.1,1005
Hispanic,2020 **,Human immunodeficiency virus (HIV) disease resulting in malignant neoplasms(B21),0,N/A,1008
Hispanic,2021 **,Human immunodeficiency virus (HIV) disease resulting in malignant neoplasms(B21),0,N/A,1011
Hispanic,Total,Human immunodeficiency virus (HIV) disease resulting in malignant neoplasms(B21),0,N/A,1014
Non-Hispanic,2020 **,Human immunodeficiency virus (HIV) disease resulting in malignant neoplasms(B21),11,0.1,1017
Non-Hispanic,2021 **,Human immunodeficiency virus (HIV) disease resulting in malignant neoplasms(B21),0,N/A,1020
Non-Hispanic,Total,Human immunodeficiency virus (HIV) disease resulting in malignant neoplasms(B21),11,0.0,1023
Unknown,2020 **,Human immunodeficiency virus (HIV) disease resulting in malignant neoplasms(B21),0,N/A,1026
Unknown,2021 **,Human immunodeficiency virus (HIV) disease resulting in malignant neoplasms(B21),0,N/A,1029
Unknown,Total,Human immunodeficiency virus (HIV) disease resulting in malignant neoplasms(B21),0,N/A,1032
Total,2020 **,Human immunodeficiency virus (HIV) disease resulting in malignant neoplasms(B21),11,0.1,1035
Total,2021 **,Human immunodeficiency virus (HIV) disease resulting in malignant neoplasms(B21),0,N/A,1038
Total,Total,Human immunodeficiency virus (HIV) disease resulting in malignant neoplasms(B21),11,0.0,1041
Hispanic,2020 **,Human immunodeficiency virus (HIV) disease resulting in other specified diseases (B22),0,N/A,1044
