DeathEthnicityEthnicityDesc,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
Hispanic,Malignant neoplasm of cervix uteri (C53),0,N/A,312
Non-Hispanic,Malignant neoplasm of cervix uteri (C53),1,N/A,315
Unknown,Malignant neoplasm of cervix uteri (C53),0,N/A,318
Total,Malignant neoplasm of cervix uteri (C53),1,N/A,321
Hispanic,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),0,N/A,324
Non-Hispanic,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),3,N/A,327
Unknown,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),0,N/A,330
Total,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),3,N/A,333
Hispanic,Malignant neoplasm of ovary (C56),0,N/A,336
Non-Hispanic,Malignant neoplasm of ovary (C56),3,N/A,339
Unknown,Malignant neoplasm of ovary (C56),0,N/A,342
Total,Malignant neoplasm of ovary (C56),3,N/A,345
Hispanic,Malignant neoplasm of prostate (C61),0,N/A,348
Non-Hispanic,Malignant neoplasm of prostate (C61),6,N/A,351
Unknown,Malignant neoplasm of prostate (C61),0,N/A,354
Total,Malignant neoplasm of prostate (C61),6,N/A,357
Hispanic,Malignant neoplasms of kidney and renal pelvis (C64-C65),0,N/A,360
Non-Hispanic,Malignant neoplasms of kidney and renal pelvis (C64-C65),4,N/A,363
Unknown,Malignant neoplasms of kidney and renal pelvis (C64-C65),0,N/A,366
Total,Malignant neoplasms of kidney and renal pelvis (C64-C65),4,N/A,369
Hispanic,Malignant neoplasm of bladder (C67),0,N/A,372
Non-Hispanic,Malignant neoplasm of bladder (C67),0,N/A,375
Unknown,Malignant neoplasm of bladder (C67),0,N/A,378
Total,Malignant neoplasm of bladder (C67),0,N/A,381
Hispanic,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),0,N/A,384
Non-Hispanic,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),5,N/A,387
Unknown,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),0,N/A,390
Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),5,N/A,393
Hispanic,Hodgkin's disease (C81),0,N/A,396
Non-Hispanic,Hodgkin's disease (C81),0,N/A,399
Unknown,Hodgkin's disease (C81),0,N/A,402
Total,Hodgkin's disease (C81),0,N/A,405
Hispanic,Non-Hodgkin's lymphoma (C82-C85),0,N/A,408
Non-Hispanic,Non-Hodgkin's lymphoma (C82-C85),4,N/A,411
Unknown,Non-Hodgkin's lymphoma (C82-C85),0,N/A,414
Total,Non-Hodgkin's lymphoma (C82-C85),4,N/A,417
Hispanic,Leukemia (C91-C95),0,N/A,420
Non-Hispanic,Leukemia (C91-C95),4,N/A,423
Unknown,Leukemia (C91-C95),0,N/A,426
Total,Leukemia (C91-C95),4,N/A,429
Hispanic,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,432
Non-Hispanic,Multiple myeloma and immunoproliferative neoplasms (C88C90),4,N/A,435
Unknown,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,438
Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),4,N/A,441
Hispanic,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,444
Non-Hispanic,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,447
Unknown,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,450
Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,453
Hispanic,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),0,N/A,456
Non-Hispanic,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),13,0,459
Unknown,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),0,N/A,462
Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),13,0,465
Hispanic,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,468
Non-Hispanic,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),4,N/A,471
Unknown,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,474
Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),4,N/A,477
Hispanic,Anemias (D50-D64),0,N/A,480
Non-Hispanic,Anemias (D50-D64),1,N/A,483
Unknown,Anemias (D50-D64),0,N/A,486
Total,Anemias (D50-D64),1,N/A,489
Hispanic,Diabetes mellitus (E10-E14),1,N/A,492
Non-Hispanic,Diabetes mellitus (E10-E14),7,N/A,495
Unknown,Diabetes mellitus (E10-E14),0,N/A,498
Total,Diabetes mellitus (E10-E14),8,N/A,501
Hispanic,Malnutrition (E40-E46),0,N/A,504
Non-Hispanic,Malnutrition (E40-E46),2,N/A,507
Unknown,Malnutrition (E40-E46),0,N/A,510
Total,Malnutrition (E40-E46),2,N/A,513
Hispanic,Other nutritional deficiencies (E50-E64),0,N/A,516
Non-Hispanic,Other nutritional deficiencies (E50-E64),0,N/A,519
Unknown,Other nutritional deficiencies (E50-E64),0,N/A,522
Total,Other nutritional deficiencies (E50-E64),0,N/A,525
Hispanic,Meningitis (G00G03),0,N/A,528
Non-Hispanic,Meningitis (G00G03),0,N/A,531
Unknown,Meningitis (G00G03),0,N/A,534
Total,Meningitis (G00G03),0,N/A,537
Hispanic,Parkinson's disease (G20-G21),0,N/A,540
Non-Hispanic,Parkinson's disease (G20-G21),14,0,543
Unknown,Parkinson's disease (G20-G21),0,N/A,546
Total,Parkinson's disease (G20-G21),14,0,549
Hispanic,Alzheimer's disease (G30),0,N/A,552
Non-Hispanic,Alzheimer's disease (G30),28,0,555
Unknown,Alzheimer's disease (G30),0,N/A,558
Total,Alzheimer's disease (G30),28,0,561
Hispanic,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),0,N/A,564
Non-Hispanic,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),0,N/A,567
Unknown,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),0,N/A,570
Total,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),0,N/A,573
Hispanic,Hypertensive heart disease (I11),0,N/A,576
Non-Hispanic,Hypertensive heart disease (I11),9,N/A,579
Unknown,Hypertensive heart disease (I11),0,N/A,582
Total,Hypertensive heart disease (I11),9,N/A,585
Hispanic,Hypertensive heart and renal disease (I13),0,N/A,588
Non-Hispanic,Hypertensive heart and renal disease (I13),3,N/A,591
Unknown,Hypertensive heart and renal disease (I13),0,N/A,594
Total,Hypertensive heart and renal disease (I13),3,N/A,597
Hispanic,Acute myocardial infarction (I21-I22),0,N/A,600
Non-Hispanic,Acute myocardial infarction (I21-I22),14,0,603
Unknown,Acute myocardial infarction (I21-I22),0,N/A,606
Total,Acute myocardial infarction (I21-I22),14,0,609
Hispanic,Other acute ischemic heart diseases (I24),0,N/A,612
Non-Hispanic,Other acute ischemic heart diseases (I24),1,N/A,615
Unknown,Other acute ischemic heart diseases (I24),0,N/A,618
Total,Other acute ischemic heart diseases (I24),1,N/A,621
Hispanic,Atherosclerotic cardiovascular disease so described (I25.0),0,N/A,624
Non-Hispanic,Atherosclerotic cardiovascular disease so described (I25.0),9,N/A,627
Unknown,Atherosclerotic cardiovascular disease so described (I25.0),0,N/A,630
Total,Atherosclerotic cardiovascular disease so described (I25.0),9,N/A,633
Hispanic,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),0,N/A,636
Non-Hispanic,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),27,0,639
Unknown,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),0,N/A,642
Total,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),27,0,645
Hispanic,Acute and subacute endocarditis (I33),0,N/A,648
Non-Hispanic,Acute and subacute endocarditis (I33),0,N/A,651
Unknown,Acute and subacute endocarditis (I33),0,N/A,654
Total,Acute and subacute endocarditis (I33),0,N/A,657
Hispanic,Diseases of pericardium and acute myocarditis (I30-I31I40),0,N/A,660
Non-Hispanic,Diseases of pericardium and acute myocarditis (I30-I31I40),0,N/A,663
Unknown,Diseases of pericardium and acute myocarditis (I30-I31I40),0,N/A,666
Total,Diseases of pericardium and acute myocarditis (I30-I31I40),0,N/A,669
Hispanic,Heart failure (I50),0,N/A,672
Non-Hispanic,Heart failure (I50),18,0,675
Unknown,Heart failure (I50),0,N/A,678
Total,Heart failure (I50),18,0,681
Hispanic,All other forms of heart disease (I26-I28I34-I38I42-I49I51),0,N/A,684
Non-Hispanic,All other forms of heart disease (I26-I28I34-I38I42-I49I51),17,0,687
Unknown,All other forms of heart disease (I26-I28I34-I38I42-I49I51),0,N/A,690
Total,All other forms of heart disease (I26-I28I34-I38I42-I49I51),17,0,693
Hispanic,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),0,N/A,696
Non-Hispanic,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),5,N/A,699
Unknown,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),0,N/A,702
Total,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),5,N/A,705
Hispanic,Cerebrovascular diseases (I60-I69),0,N/A,708
Non-Hispanic,Cerebrovascular diseases (I60-I69),32,0,711
Unknown,Cerebrovascular diseases (I60-I69),0,N/A,714
Total,Cerebrovascular diseases (I60-I69),32,0,717
Hispanic,Atherosclerosis (I70),0,N/A,720
Non-Hispanic,Atherosclerosis (I70),0,N/A,723
Unknown,Atherosclerosis (I70),0,N/A,726
Total,Atherosclerosis (I70),0,N/A,729
Hispanic,Aortic aneurysm and dissection (I71),0,N/A,732
Non-Hispanic,Aortic aneurysm and dissection (I71),2,N/A,735
Unknown,Aortic aneurysm and dissection (I71),0,N/A,738
Total,Aortic aneurysm and dissection (I71),2,N/A,741
Hispanic,Other diseases of arteries arterioles and capillaries (I72-I78),0,N/A,744
Non-Hispanic,Other diseases of arteries arterioles and capillaries (I72-I78),3,N/A,747
Unknown,Other diseases of arteries arterioles and capillaries (I72-I78),0,N/A,750
Total,Other diseases of arteries arterioles and capillaries (I72-I78),3,N/A,753
Hispanic,Other disorders of circulatory system (I80-I99),0,N/A,756
Non-Hispanic,Other disorders of circulatory system (I80-I99),0,N/A,759
Unknown,Other disorders of circulatory system (I80-I99),0,N/A,762
Total,Other disorders of circulatory system (I80-I99),0,N/A,765
Hispanic,Influenza (J09-J11),0,N/A,768
Non-Hispanic,Influenza (J09-J11),0,N/A,771
Unknown,Influenza (J09-J11),0,N/A,774
Total,Influenza (J09-J11),0,N/A,777
Hispanic,Pneumonia (J12-J18),0,N/A,780
Non-Hispanic,Pneumonia (J12-J18),6,N/A,783
Unknown,Pneumonia (J12-J18),0,N/A,786
Total,Pneumonia (J12-J18),6,N/A,789
Hispanic,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,792
Non-Hispanic,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,795
Unknown,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,798
Total,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,801
Hispanic,Unspecified acute lower respiratory infection (J22U049U071),1,N/A,804
Non-Hispanic,Unspecified acute lower respiratory infection (J22U049U071),102,0,807
Unknown,Unspecified acute lower respiratory infection (J22U049U071),0,N/A,810
Total,Unspecified acute lower respiratory infection (J22U049U071),103,0,813
Hispanic,Bronchitis chronic and unspecified (J40-J42),0,N/A,816
Non-Hispanic,Bronchitis chronic and unspecified (J40-J42),0,N/A,819
Unknown,Bronchitis chronic and unspecified (J40-J42),0,N/A,822
Total,Bronchitis chronic and unspecified (J40-J42),0,N/A,825
Hispanic,Emphysema (J43),0,N/A,828
Non-Hispanic,Emphysema (J43),1,N/A,831
Unknown,Emphysema (J43),0,N/A,834
Total,Emphysema (J43),1,N/A,837
Hispanic,Asthma (J45-J46),0,N/A,840
Non-Hispanic,Asthma (J45-J46),0,N/A,843
Unknown,Asthma (J45-J46),0,N/A,846
Total,Asthma (J45-J46),0,N/A,849
Hispanic,Other chronic lower respiratory diseases (J44J47),0,N/A,852
Non-Hispanic,Other chronic lower respiratory diseases (J44J47),16,0,855
Unknown,Other chronic lower respiratory diseases (J44J47),0,N/A,858
Total,Other chronic lower respiratory diseases (J44J47),16,0,861
Hispanic,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,864
Non-Hispanic,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,867
Unknown,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,870
Total,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,873
Hispanic,Pneumonitis due to solids and liquids (J69),0,N/A,876
Non-Hispanic,Pneumonitis due to solids and liquids (J69),3,N/A,879
Unknown,Pneumonitis due to solids and liquids (J69),0,N/A,882
Total,Pneumonitis due to solids and liquids (J69),3,N/A,885
Hispanic,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),0,N/A,888
Non-Hispanic,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),4,N/A,891
Unknown,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),0,N/A,894
Total,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),4,N/A,897
Hispanic,Peptic ulcer (K25-K28),0,N/A,900
Non-Hispanic,Peptic ulcer (K25-K28),0,N/A,903
Unknown,Peptic ulcer (K25-K28),0,N/A,906
Total,Peptic ulcer (K25-K28),0,N/A,909
Hispanic,Diseases of appendix (K35-K38),0,N/A,912
Non-Hispanic,Diseases of appendix (K35-K38),0,N/A,915
Unknown,Diseases of appendix (K35-K38),0,N/A,918
Total,Diseases of appendix (K35-K38),0,N/A,921
Hispanic,Hernia (K40-K46),0,N/A,924
Non-Hispanic,Hernia (K40-K46),1,N/A,927
Unknown,Hernia (K40-K46),0,N/A,930
Total,Hernia (K40-K46),1,N/A,933
Hispanic,Alcoholic liver disease (K70),0,N/A,936
Non-Hispanic,Alcoholic liver disease (K70),3,N/A,939
Unknown,Alcoholic liver disease (K70),0,N/A,942
Total,Alcoholic liver disease (K70),3,N/A,945
Hispanic,Other chronic liver disease and cirrhosis (K73-K74),0,N/A,948
Non-Hispanic,Other chronic liver disease and cirrhosis (K73-K74),1,N/A,951
Unknown,Other chronic liver disease and cirrhosis (K73-K74),0,N/A,954
Total,Other chronic liver disease and cirrhosis (K73-K74),1,N/A,957
Hispanic,Cholelithiasis and other disorders of gallbladder (K80-K82),0,N/A,960
Non-Hispanic,Cholelithiasis and other disorders of gallbladder (K80-K82),0,N/A,963
Unknown,Cholelithiasis and other disorders of gallbladder (K80-K82),0,N/A,966
Total,Cholelithiasis and other disorders of gallbladder (K80-K82),0,N/A,969
Hispanic,Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),0,N/A,972
Non-Hispanic,Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),0,N/A,975
Unknown,Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),0,N/A,978
Total,Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),0,N/A,981
Hispanic,Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),0,N/A,984
Non-Hispanic,Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),0,N/A,987
Unknown,Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),0,N/A,990
Total,Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),0,N/A,993
Hispanic,Renal failure (N17-N19),0,N/A,996
Non-Hispanic,Renal failure (N17-N19),8,N/A,999
Unknown,Renal failure (N17-N19),0,N/A,1002
Total,Renal failure (N17-N19),8,N/A,1005
Hispanic,Other disorders of kidney (N25N27),0,N/A,1008
Non-Hispanic,Other disorders of kidney (N25N27),0,N/A,1011
Unknown,Other disorders of kidney (N25N27),0,N/A,1014
Total,Other disorders of kidney (N25N27),0,N/A,1017
Hispanic,Infections of kidney (N10-N12N13.6N15.1),0,N/A,1020
Non-Hispanic,Infections of kidney (N10-N12N13.6N15.1),0,N/A,1023
Unknown,Infections of kidney (N10-N12N13.6N15.1),0,N/A,1026
Total,Infections of kidney (N10-N12N13.6N15.1),0,N/A,1029
Hispanic,Hyperplasia of prostate (N40),0,N/A,1032
Non-Hispanic,Hyperplasia of prostate (N40),0,N/A,1035
Unknown,Hyperplasia of prostate (N40),0,N/A,1038
Total,Hyperplasia of prostate (N40),0,N/A,1041
Hispanic,Inflammatory diseases of female pelvic organs (N70-N76),0,N/A,1044
Non-Hispanic,Inflammatory diseases of female pelvic organs (N70-N76),0,N/A,1047
Unknown,Inflammatory diseases of female pelvic organs (N70-N76),0,N/A,1050
Total,Inflammatory diseases of female pelvic organs (N70-N76),0,N/A,1053
Hispanic,Pregnancy with abortive outcome (O00-O07),0,N/A,1056
Non-Hispanic,Pregnancy with abortive outcome (O00-O07),0,N/A,1059
Unknown,Pregnancy with abortive outcome (O00-O07),0,N/A,1062
Total,Pregnancy with abortive outcome (O00-O07),0,N/A,1065
Hispanic,Other complications of pregnancy childbirth and the puerperium (O10-O99),0,N/A,1068
Non-Hispanic,Other complications of pregnancy childbirth and the puerperium (O10-O99),1,N/A,1071
Unknown,Other complications of pregnancy childbirth and the puerperium (O10-O99),0,N/A,1074
Total,Other complications of pregnancy childbirth and the puerperium (O10-O99),1,N/A,1077
Hispanic,Certain conditions originating in the perinatal period (P00-P96),0,N/A,1080
Non-Hispanic,Certain conditions originating in the perinatal period (P00-P96),0,N/A,1083
Unknown,Certain conditions originating in the perinatal period (P00-P96),0,N/A,1086
Total,Certain conditions originating in the perinatal period (P00-P96),0,N/A,1089
Hispanic,Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),0,N/A,1092
Non-Hispanic,Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),0,N/A,1095
Unknown,Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),0,N/A,1098
Total,Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),0,N/A,1101
Hispanic,Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),38,0,1104
Non-Hispanic,Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),3902,0,1107
Unknown,Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),1,N/A,1110
Total,Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),3941,0,1113
Hispanic,All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),1,N/A,1116
Non-Hispanic,All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),70,0,1119
Unknown,All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),0,N/A,1122
Total,All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),71,0,1125
Hispanic,Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),0,N/A,1128
Non-Hispanic,Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),4,N/A,1131
