DeathEducationLevelEducationLevel,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
8TH GRADE OR LESS,Scarlet fever and erysipelas (A38A46),0,N/A,180
9TH THRU 12TH GRADE; NO DIPLOMA,Scarlet fever and erysipelas (A38A46),0,N/A,183
HIGH SCHOOL GRADUATE OR GED,Scarlet fever and erysipelas (A38A46),0,N/A,186
COLLEGE BUT NO DEGREE,Scarlet fever and erysipelas (A38A46),0,N/A,189
ASSOCIATE DEGREE (E.G. AA AS),Scarlet fever and erysipelas (A38A46),1,N/A,192
BACHELORS DEGREE (E.G. BA AB BS),Scarlet fever and erysipelas (A38A46),0,N/A,195
MASTERS DEGREE (E.G. MA MS..),Scarlet fever and erysipelas (A38A46),0,N/A,198
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Scarlet fever and erysipelas (A38A46),0,N/A,201
UNKNOWN,Scarlet fever and erysipelas (A38A46),0,N/A,204
Total,Scarlet fever and erysipelas (A38A46),1,N/A,207
8TH GRADE OR LESS,Meningococcal infection (A39),7,N/A,210
9TH THRU 12TH GRADE; NO DIPLOMA,Meningococcal infection (A39),0,N/A,213
HIGH SCHOOL GRADUATE OR GED,Meningococcal infection (A39),5,N/A,216
COLLEGE BUT NO DEGREE,Meningococcal infection (A39),1,N/A,219
ASSOCIATE DEGREE (E.G. AA AS),Meningococcal infection (A39),2,N/A,222
BACHELORS DEGREE (E.G. BA AB BS),Meningococcal infection (A39),0,N/A,225
MASTERS DEGREE (E.G. MA MS..),Meningococcal infection (A39),1,N/A,228
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Meningococcal infection (A39),1,N/A,231
UNKNOWN,Meningococcal infection (A39),2,N/A,234
Total,Meningococcal infection (A39),19,0.0,237
8TH GRADE OR LESS,Septicemia (A40-A41),1894,0.9,240
9TH THRU 12TH GRADE; NO DIPLOMA,Septicemia (A40-A41),3277,1.6,243
HIGH SCHOOL GRADUATE OR GED,Septicemia (A40-A41),12305,5.8,246
COLLEGE BUT NO DEGREE,Septicemia (A40-A41),2188,1.0,249
ASSOCIATE DEGREE (E.G. AA AS),Septicemia (A40-A41),1217,0.6,252
BACHELORS DEGREE (E.G. BA AB BS),Septicemia (A40-A41),1837,0.9,255
MASTERS DEGREE (E.G. MA MS..),Septicemia (A40-A41),677,0.3,258
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Septicemia (A40-A41),283,0.1,261
UNKNOWN,Septicemia (A40-A41),671,0.3,264
Total,Septicemia (A40-A41),24349,11.5,267
8TH GRADE OR LESS,Syphilis ((A50-A53),1,N/A,270
9TH THRU 12TH GRADE; NO DIPLOMA,Syphilis ((A50-A53),2,N/A,273
HIGH SCHOOL GRADUATE OR GED,Syphilis ((A50-A53),6,N/A,276
COLLEGE BUT NO DEGREE,Syphilis ((A50-A53),3,N/A,279
ASSOCIATE DEGREE (E.G. AA AS),Syphilis ((A50-A53),0,N/A,282
BACHELORS DEGREE (E.G. BA AB BS),Syphilis ((A50-A53),0,N/A,285
MASTERS DEGREE (E.G. MA MS..),Syphilis ((A50-A53),0,N/A,288
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Syphilis ((A50-A53),0,N/A,291
UNKNOWN,Syphilis ((A50-A53),2,N/A,294
Total,Syphilis ((A50-A53),14,0.0,297
8TH GRADE OR LESS,Acute poliomyelitis (A80),0,N/A,300
9TH THRU 12TH GRADE; NO DIPLOMA,Acute poliomyelitis (A80),0,N/A,303
HIGH SCHOOL GRADUATE OR GED,Acute poliomyelitis (A80),0,N/A,306
COLLEGE BUT NO DEGREE,Acute poliomyelitis (A80),0,N/A,309
ASSOCIATE DEGREE (E.G. AA AS),Acute poliomyelitis (A80),1,N/A,312
BACHELORS DEGREE (E.G. BA AB BS),Acute poliomyelitis (A80),0,N/A,315
MASTERS DEGREE (E.G. MA MS..),Acute poliomyelitis (A80),0,N/A,318
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Acute poliomyelitis (A80),0,N/A,321
UNKNOWN,Acute poliomyelitis (A80),0,N/A,324
Total,Acute poliomyelitis (A80),1,N/A,327
8TH GRADE OR LESS,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,330
9TH THRU 12TH GRADE; NO DIPLOMA,Arthropod-borne viral encephalitis (A83-A84A85.2),1,N/A,333
HIGH SCHOOL GRADUATE OR GED,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,336
COLLEGE BUT NO DEGREE,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,339
ASSOCIATE DEGREE (E.G. AA AS),Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,342
BACHELORS DEGREE (E.G. BA AB BS),Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,345
MASTERS DEGREE (E.G. MA MS..),Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,348
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,351
UNKNOWN,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,354
Total,Arthropod-borne viral encephalitis (A83-A84A85.2),1,N/A,357
8TH GRADE OR LESS,Viral hepatitis (B15-B19),132,0.1,360
9TH THRU 12TH GRADE; NO DIPLOMA,Viral hepatitis (B15-B19),508,0.2,363
HIGH SCHOOL GRADUATE OR GED,Viral hepatitis (B15-B19),1304,0.6,366
COLLEGE BUT NO DEGREE,Viral hepatitis (B15-B19),241,0.1,369
ASSOCIATE DEGREE (E.G. AA AS),Viral hepatitis (B15-B19),140,0.1,372
BACHELORS DEGREE (E.G. BA AB BS),Viral hepatitis (B15-B19),113,0.1,375
MASTERS DEGREE (E.G. MA MS..),Viral hepatitis (B15-B19),26,0.0,378
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Viral hepatitis (B15-B19),14,0.0,381
UNKNOWN,Viral hepatitis (B15-B19),93,0.0,384
Total,Viral hepatitis (B15-B19),2571,1.2,387
8TH GRADE OR LESS,Human immunodeficiency virus (HIV) disease (B20-B24),57,0.0,390
9TH THRU 12TH GRADE; NO DIPLOMA,Human immunodeficiency virus (HIV) disease (B20-B24),348,0.2,393
HIGH SCHOOL GRADUATE OR GED,Human immunodeficiency virus (HIV) disease (B20-B24),908,0.5,396
COLLEGE BUT NO DEGREE,Human immunodeficiency virus (HIV) disease (B20-B24),289,0.2,399
ASSOCIATE DEGREE (E.G. AA AS),Human immunodeficiency virus (HIV) disease (B20-B24),95,0.1,402
BACHELORS DEGREE (E.G. BA AB BS),Human immunodeficiency virus (HIV) disease (B20-B24),145,0.1,405
MASTERS DEGREE (E.G. MA MS..),Human immunodeficiency virus (HIV) disease (B20-B24),43,0.0,408
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Human immunodeficiency virus (HIV) disease (B20-B24),9,N/A,411
UNKNOWN,Human immunodeficiency virus (HIV) disease (B20-B24),80,0.0,414
Total,Human immunodeficiency virus (HIV) disease (B20-B24),1974,1.1,417
8TH GRADE OR LESS,Malaria (B50-B54),0,N/A,420
9TH THRU 12TH GRADE; NO DIPLOMA,Malaria (B50-B54),0,N/A,423
HIGH SCHOOL GRADUATE OR GED,Malaria (B50-B54),1,N/A,426
COLLEGE BUT NO DEGREE,Malaria (B50-B54),0,N/A,429
ASSOCIATE DEGREE (E.G. AA AS),Malaria (B50-B54),0,N/A,432
BACHELORS DEGREE (E.G. BA AB BS),Malaria (B50-B54),0,N/A,435
MASTERS DEGREE (E.G. MA MS..),Malaria (B50-B54),0,N/A,438
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malaria (B50-B54),0,N/A,441
UNKNOWN,Malaria (B50-B54),0,N/A,444
Total,Malaria (B50-B54),1,N/A,447
8TH GRADE OR LESS,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),353,0.2,450
9TH THRU 12TH GRADE; NO DIPLOMA,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),447,0.2,453
HIGH SCHOOL GRADUATE OR GED,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),1721,0.8,456
COLLEGE BUT NO DEGREE,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),371,0.2,459
ASSOCIATE DEGREE (E.G. AA AS),Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),207,0.1,462
BACHELORS DEGREE (E.G. BA AB BS),Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),349,0.2,465
MASTERS DEGREE (E.G. MA MS..),Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),131,0.1,468
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),70,0.0,471
UNKNOWN,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),125,0.1,474
Total,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),3774,1.8,477
8TH GRADE OR LESS,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),303,0.1,480
9TH THRU 12TH GRADE; NO DIPLOMA,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),766,0.4,483
HIGH SCHOOL GRADUATE OR GED,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),2814,1.3,486
COLLEGE BUT NO DEGREE,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),519,0.2,489
ASSOCIATE DEGREE (E.G. AA AS),Malignant neoplasms of lip oral cavity and pharynx (C00-C14),260,0.1,492
BACHELORS DEGREE (E.G. BA AB BS),Malignant neoplasms of lip oral cavity and pharynx (C00-C14),468,0.2,495
MASTERS DEGREE (E.G. MA MS..),Malignant neoplasms of lip oral cavity and pharynx (C00-C14),145,0.1,498
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),78,0.0,501
UNKNOWN,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),85,0.0,504
Total,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),5438,2.5,507
8TH GRADE OR LESS,Malignant neoplasm of esophagus (C15),486,0.2,510
9TH THRU 12TH GRADE; NO DIPLOMA,Malignant neoplasm of esophagus (C15),1147,0.5,513
HIGH SCHOOL GRADUATE OR GED,Malignant neoplasm of esophagus (C15),5102,2.4,516
COLLEGE BUT NO DEGREE,Malignant neoplasm of esophagus (C15),1111,0.5,519
ASSOCIATE DEGREE (E.G. AA AS),Malignant neoplasm of esophagus (C15),471,0.2,522
BACHELORS DEGREE (E.G. BA AB BS),Malignant neoplasm of esophagus (C15),959,0.4,525
MASTERS DEGREE (E.G. MA MS..),Malignant neoplasm of esophagus (C15),386,0.2,528
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malignant neoplasm of esophagus (C15),170,0.1,531
UNKNOWN,Malignant neoplasm of esophagus (C15),157,0.1,534
Total,Malignant neoplasm of esophagus (C15),9989,4.6,537
8TH GRADE OR LESS,Malignant neoplasm of stomach (C16),429,0.2,540
9TH THRU 12TH GRADE; NO DIPLOMA,Malignant neoplasm of stomach (C16),695,0.3,543
HIGH SCHOOL GRADUATE OR GED,Malignant neoplasm of stomach (C16),2551,1.2,546
COLLEGE BUT NO DEGREE,Malignant neoplasm of stomach (C16),507,0.2,549
ASSOCIATE DEGREE (E.G. AA AS),Malignant neoplasm of stomach (C16),279,0.1,552
BACHELORS DEGREE (E.G. BA AB BS),Malignant neoplasm of stomach (C16),441,0.2,555
MASTERS DEGREE (E.G. MA MS..),Malignant neoplasm of stomach (C16),192,0.1,558
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malignant neoplasm of stomach (C16),89,0.0,561
UNKNOWN,Malignant neoplasm of stomach (C16),91,0.0,564
Total,Malignant neoplasm of stomach (C16),5274,2.5,567
8TH GRADE OR LESS,Malignant neoplasms of colon rectum and anus (C18-C21),2115,1.0,570
9TH THRU 12TH GRADE; NO DIPLOMA,Malignant neoplasms of colon rectum and anus (C18-C21),3840,1.8,573
HIGH SCHOOL GRADUATE OR GED,Malignant neoplasms of colon rectum and anus (C18-C21),16175,7.6,576
COLLEGE BUT NO DEGREE,Malignant neoplasms of colon rectum and anus (C18-C21),3005,1.4,579
ASSOCIATE DEGREE (E.G. AA AS),Malignant neoplasms of colon rectum and anus (C18-C21),1749,0.8,582
BACHELORS DEGREE (E.G. BA AB BS),Malignant neoplasms of colon rectum and anus (C18-C21),2849,1.3,585
MASTERS DEGREE (E.G. MA MS..),Malignant neoplasms of colon rectum and anus (C18-C21),1074,0.5,588
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malignant neoplasms of colon rectum and anus (C18-C21),460,0.2,591
UNKNOWN,Malignant neoplasms of colon rectum and anus (C18-C21),533,0.2,594
Total,Malignant neoplasms of colon rectum and anus (C18-C21),31800,14.9,597
8TH GRADE OR LESS,Malignant neoplasms of liver and intrahepatic bile ducts (C22),672,0.3,600
9TH THRU 12TH GRADE; NO DIPLOMA,Malignant neoplasms of liver and intrahepatic bile ducts (C22),1560,0.7,603
HIGH SCHOOL GRADUATE OR GED,Malignant neoplasms of liver and intrahepatic bile ducts (C22),5929,2.7,606
COLLEGE BUT NO DEGREE,Malignant neoplasms of liver and intrahepatic bile ducts (C22),1187,0.5,609
ASSOCIATE DEGREE (E.G. AA AS),Malignant neoplasms of liver and intrahepatic bile ducts (C22),632,0.3,612
BACHELORS DEGREE (E.G. BA AB BS),Malignant neoplasms of liver and intrahepatic bile ducts (C22),956,0.4,615
MASTERS DEGREE (E.G. MA MS..),Malignant neoplasms of liver and intrahepatic bile ducts (C22),386,0.2,618
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malignant neoplasms of liver and intrahepatic bile ducts (C22),175,0.1,621
UNKNOWN,Malignant neoplasms of liver and intrahepatic bile ducts (C22),214,0.1,624
Total,Malignant neoplasms of liver and intrahepatic bile ducts (C22),11711,5.4,627
8TH GRADE OR LESS,Malignant neoplasm of pancreas (C25),1126,0.5,630
9TH THRU 12TH GRADE; NO DIPLOMA,Malignant neoplasm of pancreas (C25),2267,1.1,633
HIGH SCHOOL GRADUATE OR GED,Malignant neoplasm of pancreas (C25),11689,5.4,636
COLLEGE BUT NO DEGREE,Malignant neoplasm of pancreas (C25),2459,1.1,639
ASSOCIATE DEGREE (E.G. AA AS),Malignant neoplasm of pancreas (C25),1447,0.7,642
BACHELORS DEGREE (E.G. BA AB BS),Malignant neoplasm of pancreas (C25),2640,1.2,645
MASTERS DEGREE (E.G. MA MS..),Malignant neoplasm of pancreas (C25),1196,0.6,648
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malignant neoplasm of pancreas (C25),484,0.2,651
UNKNOWN,Malignant neoplasm of pancreas (C25),271,0.1,654
Total,Malignant neoplasm of pancreas (C25),23579,10.9,657
8TH GRADE OR LESS,Malignant neoplasm of larynx (C32),206,0.1,660
9TH THRU 12TH GRADE; NO DIPLOMA,Malignant neoplasm of larynx (C32),516,0.2,663
HIGH SCHOOL GRADUATE OR GED,Malignant neoplasm of larynx (C32),1327,0.6,666
COLLEGE BUT NO DEGREE,Malignant neoplasm of larynx (C32),176,0.1,669
ASSOCIATE DEGREE (E.G. AA AS),Malignant neoplasm of larynx (C32),87,0.0,672
BACHELORS DEGREE (E.G. BA AB BS),Malignant neoplasm of larynx (C32),133,0.1,675
MASTERS DEGREE (E.G. MA MS..),Malignant neoplasm of larynx (C32),35,0.0,678
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malignant neoplasm of larynx (C32),10,0.0,681
UNKNOWN,Malignant neoplasm of larynx (C32),57,0.0,684
Total,Malignant neoplasm of larynx (C32),2547,1.2,687
8TH GRADE OR LESS,Malignant neoplasms of trachea bronchus and lung (C33-C34),7119,3.4,690
9TH THRU 12TH GRADE; NO DIPLOMA,Malignant neoplasms of trachea bronchus and lung (C33-C34),16716,7.8,693
HIGH SCHOOL GRADUATE OR GED,Malignant neoplasms of trachea bronchus and lung (C33-C34),51952,24.0,696
COLLEGE BUT NO DEGREE,Malignant neoplasms of trachea bronchus and lung (C33-C34),8797,4.0,699
ASSOCIATE DEGREE (E.G. AA AS),Malignant neoplasms of trachea bronchus and lung (C33-C34),4576,2.1,702
BACHELORS DEGREE (E.G. BA AB BS),Malignant neoplasms of trachea bronchus and lung (C33-C34),5943,2.8,705
MASTERS DEGREE (E.G. MA MS..),Malignant neoplasms of trachea bronchus and lung (C33-C34),1866,0.9,708
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malignant neoplasms of trachea bronchus and lung (C33-C34),786,0.4,711
UNKNOWN,Malignant neoplasms of trachea bronchus and lung (C33-C34),1487,0.7,714
Total,Malignant neoplasms of trachea bronchus and lung (C33-C34),99242,46.0,717
8TH GRADE OR LESS,Malignant melanoma of skin (C43),227,0.1,720
9TH THRU 12TH GRADE; NO DIPLOMA,Malignant melanoma of skin (C43),409,0.2,723
HIGH SCHOOL GRADUATE OR GED,Malignant melanoma of skin (C43),2536,1.2,726
COLLEGE BUT NO DEGREE,Malignant melanoma of skin (C43),630,0.3,729
ASSOCIATE DEGREE (E.G. AA AS),Malignant melanoma of skin (C43),315,0.2,732
BACHELORS DEGREE (E.G. BA AB BS),Malignant melanoma of skin (C43),713,0.3,735
MASTERS DEGREE (E.G. MA MS..),Malignant melanoma of skin (C43),284,0.1,738
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malignant melanoma of skin (C43),123,0.1,741
UNKNOWN,Malignant melanoma of skin (C43),50,0.0,744
Total,Malignant melanoma of skin (C43),5287,2.5,747
8TH GRADE OR LESS,Malignant neoplasm of breast (C50),1027,0.5,750
9TH THRU 12TH GRADE; NO DIPLOMA,Malignant neoplasm of breast (C50),2356,1.1,753
HIGH SCHOOL GRADUATE OR GED,Malignant neoplasm of breast (C50),12144,5.7,756
COLLEGE BUT NO DEGREE,Malignant neoplasm of breast (C50),2630,1.3,759
ASSOCIATE DEGREE (E.G. AA AS),Malignant neoplasm of breast (C50),1920,0.9,762
BACHELORS DEGREE (E.G. BA AB BS),Malignant neoplasm of breast (C50),2852,1.4,765
MASTERS DEGREE (E.G. MA MS..),Malignant neoplasm of breast (C50),1301,0.6,768
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malignant neoplasm of breast (C50),251,0.1,771
UNKNOWN,Malignant neoplasm of breast (C50),342,0.2,774
Total,Malignant neoplasm of breast (C50),24823,11.8,777
8TH GRADE OR LESS,Malignant neoplasm of cervix uteri (C53),86,0.0,780
9TH THRU 12TH GRADE; NO DIPLOMA,Malignant neoplasm of cervix uteri (C53),363,0.2,783
HIGH SCHOOL GRADUATE OR GED,Malignant neoplasm of cervix uteri (C53),1221,0.6,786
COLLEGE BUT NO DEGREE,Malignant neoplasm of cervix uteri (C53),210,0.1,789
ASSOCIATE DEGREE (E.G. AA AS),Malignant neoplasm of cervix uteri (C53),166,0.1,792
BACHELORS DEGREE (E.G. BA AB BS),Malignant neoplasm of cervix uteri (C53),147,0.1,795
MASTERS DEGREE (E.G. MA MS..),Malignant neoplasm of cervix uteri (C53),48,0.0,798
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malignant neoplasm of cervix uteri (C53),19,0.0,801
UNKNOWN,Malignant neoplasm of cervix uteri (C53),39,0.0,804
Total,Malignant neoplasm of cervix uteri (C53),2299,1.2,807
8TH GRADE OR LESS,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),257,0.1,810
9TH THRU 12TH GRADE; NO DIPLOMA,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),442,0.2,813
HIGH SCHOOL GRADUATE OR GED,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),2893,1.3,816
COLLEGE BUT NO DEGREE,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),568,0.3,819
ASSOCIATE DEGREE (E.G. AA AS),Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),436,0.2,822
BACHELORS DEGREE (E.G. BA AB BS),Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),674,0.3,825
MASTERS DEGREE (E.G. MA MS..),Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),314,0.1,828
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),52,0.0,831
UNKNOWN,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),64,0.0,834
Total,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),5700,2.6,837
8TH GRADE OR LESS,Malignant neoplasm of ovary (C56),345,0.2,840
9TH THRU 12TH GRADE; NO DIPLOMA,Malignant neoplasm of ovary (C56),637,0.3,843
HIGH SCHOOL GRADUATE OR GED,Malignant neoplasm of ovary (C56),3953,1.8,846
COLLEGE BUT NO DEGREE,Malignant neoplasm of ovary (C56),809,0.4,849
ASSOCIATE DEGREE (E.G. AA AS),Malignant neoplasm of ovary (C56),584,0.3,852
BACHELORS DEGREE (E.G. BA AB BS),Malignant neoplasm of ovary (C56),967,0.5,855
MASTERS DEGREE (E.G. MA MS..),Malignant neoplasm of ovary (C56),415,0.2,858
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malignant neoplasm of ovary (C56),75,0.0,861
UNKNOWN,Malignant neoplasm of ovary (C56),108,0.0,864
Total,Malignant neoplasm of ovary (C56),7893,3.7,867
8TH GRADE OR LESS,Malignant neoplasm of prostate (C61),1324,0.6,870
9TH THRU 12TH GRADE; NO DIPLOMA,Malignant neoplasm of prostate (C61),1878,0.9,873
HIGH SCHOOL GRADUATE OR GED,Malignant neoplasm of prostate (C61),7234,3.4,876
