DeathEducationLevelEducationLevel,DeathYearYear,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Shigellosis and amebiasis (A03A06),0,N/A,126
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Shigellosis and amebiasis (A03A06),0,N/A,129
ASSOCIATE DEGREE (E.G. AA AS),Total,Shigellosis and amebiasis (A03A06),0,N/A,132
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Shigellosis and amebiasis (A03A06),0,N/A,135
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Shigellosis and amebiasis (A03A06),0,N/A,138
BACHELORS DEGREE (E.G. BA AB BS),Total,Shigellosis and amebiasis (A03A06),0,N/A,141
MASTERS DEGREE (E.G. MA MS..),2020 **,Shigellosis and amebiasis (A03A06),0,N/A,144
MASTERS DEGREE (E.G. MA MS..),2021 **,Shigellosis and amebiasis (A03A06),0,N/A,147
MASTERS DEGREE (E.G. MA MS..),Total,Shigellosis and amebiasis (A03A06),0,N/A,150
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Shigellosis and amebiasis (A03A06),0,N/A,153
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Shigellosis and amebiasis (A03A06),0,N/A,156
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Shigellosis and amebiasis (A03A06),0,N/A,159
UNKNOWN,2020 **,Shigellosis and amebiasis (A03A06),0,N/A,162
UNKNOWN,2021 **,Shigellosis and amebiasis (A03A06),0,N/A,165
UNKNOWN,Total,Shigellosis and amebiasis (A03A06),0,N/A,168
Total,2020 **,Shigellosis and amebiasis (A03A06),1,N/A,171
Total,2021 **,Shigellosis and amebiasis (A03A06),0,N/A,174
Total,Total,Shigellosis and amebiasis (A03A06),1,N/A,177
8TH GRADE OR LESS,2020 **,Certain other intestinal infections (A04A07-A09),16,0.1,180
8TH GRADE OR LESS,2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,183
8TH GRADE OR LESS,Total,Certain other intestinal infections (A04A07-A09),16,0.1,186
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Certain other intestinal infections (A04A07-A09),27,0.2,189
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,192
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Certain other intestinal infections (A04A07-A09),27,0.1,195
HIGH SCHOOL GRADUATE OR GED,2020 **,Certain other intestinal infections (A04A07-A09),123,0.8,198
HIGH SCHOOL GRADUATE OR GED,2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,201
HIGH SCHOOL GRADUATE OR GED,Total,Certain other intestinal infections (A04A07-A09),123,0.4,204
COLLEGE BUT NO DEGREE,2020 **,Certain other intestinal infections (A04A07-A09),30,0.2,207
COLLEGE BUT NO DEGREE,2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,210
COLLEGE BUT NO DEGREE,Total,Certain other intestinal infections (A04A07-A09),30,0.1,213
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Certain other intestinal infections (A04A07-A09),12,0.1,216
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,219
ASSOCIATE DEGREE (E.G. AA AS),Total,Certain other intestinal infections (A04A07-A09),12,0.0,222
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Certain other intestinal infections (A04A07-A09),23,0.1,225
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,228
BACHELORS DEGREE (E.G. BA AB BS),Total,Certain other intestinal infections (A04A07-A09),23,0.1,231
MASTERS DEGREE (E.G. MA MS..),2020 **,Certain other intestinal infections (A04A07-A09),9,N/A,234
MASTERS DEGREE (E.G. MA MS..),2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,237
MASTERS DEGREE (E.G. MA MS..),Total,Certain other intestinal infections (A04A07-A09),9,N/A,240
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Certain other intestinal infections (A04A07-A09),2,N/A,243
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,246
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Certain other intestinal infections (A04A07-A09),2,N/A,249
UNKNOWN,2020 **,Certain other intestinal infections (A04A07-A09),4,N/A,252
UNKNOWN,2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,255
UNKNOWN,Total,Certain other intestinal infections (A04A07-A09),4,N/A,258
Total,2020 **,Certain other intestinal infections (A04A07-A09),246,1.6,261
Total,2021 **,Certain other intestinal infections (A04A07-A09),0,N/A,264
Total,Total,Certain other intestinal infections (A04A07-A09),246,0.8,267
8TH GRADE OR LESS,2020 **,Respiratory tuberculosis (A16),3,N/A,270
8TH GRADE OR LESS,2021 **,Respiratory tuberculosis (A16),0,N/A,273
8TH GRADE OR LESS,Total,Respiratory tuberculosis (A16),3,N/A,276
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Respiratory tuberculosis (A16),0,N/A,279
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Respiratory tuberculosis (A16),0,N/A,282
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Respiratory tuberculosis (A16),0,N/A,285
HIGH SCHOOL GRADUATE OR GED,2020 **,Respiratory tuberculosis (A16),2,N/A,288
HIGH SCHOOL GRADUATE OR GED,2021 **,Respiratory tuberculosis (A16),0,N/A,291
HIGH SCHOOL GRADUATE OR GED,Total,Respiratory tuberculosis (A16),2,N/A,294
COLLEGE BUT NO DEGREE,2020 **,Respiratory tuberculosis (A16),0,N/A,297
COLLEGE BUT NO DEGREE,2021 **,Respiratory tuberculosis (A16),0,N/A,300
COLLEGE BUT NO DEGREE,Total,Respiratory tuberculosis (A16),0,N/A,303
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Respiratory tuberculosis (A16),0,N/A,306
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Respiratory tuberculosis (A16),0,N/A,309
ASSOCIATE DEGREE (E.G. AA AS),Total,Respiratory tuberculosis (A16),0,N/A,312
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Respiratory tuberculosis (A16),2,N/A,315
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Respiratory tuberculosis (A16),0,N/A,318
BACHELORS DEGREE (E.G. BA AB BS),Total,Respiratory tuberculosis (A16),2,N/A,321
MASTERS DEGREE (E.G. MA MS..),2020 **,Respiratory tuberculosis (A16),1,N/A,324
MASTERS DEGREE (E.G. MA MS..),2021 **,Respiratory tuberculosis (A16),0,N/A,327
MASTERS DEGREE (E.G. MA MS..),Total,Respiratory tuberculosis (A16),1,N/A,330
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Respiratory tuberculosis (A16),0,N/A,333
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Respiratory tuberculosis (A16),0,N/A,336
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Respiratory tuberculosis (A16),0,N/A,339
UNKNOWN,2020 **,Respiratory tuberculosis (A16),0,N/A,342
UNKNOWN,2021 **,Respiratory tuberculosis (A16),0,N/A,345
UNKNOWN,Total,Respiratory tuberculosis (A16),0,N/A,348
Total,2020 **,Respiratory tuberculosis (A16),8,N/A,351
Total,2021 **,Respiratory tuberculosis (A16),0,N/A,354
Total,Total,Respiratory tuberculosis (A16),8,N/A,357
8TH GRADE OR LESS,2020 **,Other tuberculosis (A17-A19),0,N/A,360
8TH GRADE OR LESS,2021 **,Other tuberculosis (A17-A19),0,N/A,363
8TH GRADE OR LESS,Total,Other tuberculosis (A17-A19),0,N/A,366
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Other tuberculosis (A17-A19),1,N/A,369
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Other tuberculosis (A17-A19),0,N/A,372
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Other tuberculosis (A17-A19),1,N/A,375
HIGH SCHOOL GRADUATE OR GED,2020 **,Other tuberculosis (A17-A19),1,N/A,378
HIGH SCHOOL GRADUATE OR GED,2021 **,Other tuberculosis (A17-A19),0,N/A,381
HIGH SCHOOL GRADUATE OR GED,Total,Other tuberculosis (A17-A19),1,N/A,384
COLLEGE BUT NO DEGREE,2020 **,Other tuberculosis (A17-A19),1,N/A,387
COLLEGE BUT NO DEGREE,2021 **,Other tuberculosis (A17-A19),0,N/A,390
COLLEGE BUT NO DEGREE,Total,Other tuberculosis (A17-A19),1,N/A,393
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Other tuberculosis (A17-A19),1,N/A,396
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Other tuberculosis (A17-A19),0,N/A,399
ASSOCIATE DEGREE (E.G. AA AS),Total,Other tuberculosis (A17-A19),1,N/A,402
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Other tuberculosis (A17-A19),2,N/A,405
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Other tuberculosis (A17-A19),0,N/A,408
BACHELORS DEGREE (E.G. BA AB BS),Total,Other tuberculosis (A17-A19),2,N/A,411
MASTERS DEGREE (E.G. MA MS..),2020 **,Other tuberculosis (A17-A19),0,N/A,414
MASTERS DEGREE (E.G. MA MS..),2021 **,Other tuberculosis (A17-A19),0,N/A,417
MASTERS DEGREE (E.G. MA MS..),Total,Other tuberculosis (A17-A19),0,N/A,420
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Other tuberculosis (A17-A19),0,N/A,423
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Other tuberculosis (A17-A19),0,N/A,426
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Other tuberculosis (A17-A19),0,N/A,429
UNKNOWN,2020 **,Other tuberculosis (A17-A19),0,N/A,432
UNKNOWN,2021 **,Other tuberculosis (A17-A19),0,N/A,435
UNKNOWN,Total,Other tuberculosis (A17-A19),0,N/A,438
Total,2020 **,Other tuberculosis (A17-A19),6,N/A,441
Total,2021 **,Other tuberculosis (A17-A19),0,N/A,444
Total,Total,Other tuberculosis (A17-A19),6,N/A,447
8TH GRADE OR LESS,2020 **,Whooping cough (A37),1,N/A,450
8TH GRADE OR LESS,2021 **,Whooping cough (A37),0,N/A,453
8TH GRADE OR LESS,Total,Whooping cough (A37),1,N/A,456
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Whooping cough (A37),0,N/A,459
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Whooping cough (A37),0,N/A,462
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Whooping cough (A37),0,N/A,465
HIGH SCHOOL GRADUATE OR GED,2020 **,Whooping cough (A37),0,N/A,468
HIGH SCHOOL GRADUATE OR GED,2021 **,Whooping cough (A37),0,N/A,471
HIGH SCHOOL GRADUATE OR GED,Total,Whooping cough (A37),0,N/A,474
COLLEGE BUT NO DEGREE,2020 **,Whooping cough (A37),0,N/A,477
COLLEGE BUT NO DEGREE,2021 **,Whooping cough (A37),0,N/A,480
COLLEGE BUT NO DEGREE,Total,Whooping cough (A37),0,N/A,483
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Whooping cough (A37),0,N/A,486
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Whooping cough (A37),0,N/A,489
ASSOCIATE DEGREE (E.G. AA AS),Total,Whooping cough (A37),0,N/A,492
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Whooping cough (A37),0,N/A,495
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Whooping cough (A37),0,N/A,498
BACHELORS DEGREE (E.G. BA AB BS),Total,Whooping cough (A37),0,N/A,501
MASTERS DEGREE (E.G. MA MS..),2020 **,Whooping cough (A37),0,N/A,504
MASTERS DEGREE (E.G. MA MS..),2021 **,Whooping cough (A37),0,N/A,507
MASTERS DEGREE (E.G. MA MS..),Total,Whooping cough (A37),0,N/A,510
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Whooping cough (A37),0,N/A,513
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Whooping cough (A37),0,N/A,516
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Whooping cough (A37),0,N/A,519
UNKNOWN,2020 **,Whooping cough (A37),0,N/A,522
UNKNOWN,2021 **,Whooping cough (A37),0,N/A,525
UNKNOWN,Total,Whooping cough (A37),0,N/A,528
Total,2020 **,Whooping cough (A37),1,N/A,531
Total,2021 **,Whooping cough (A37),0,N/A,534
Total,Total,Whooping cough (A37),1,N/A,537
8TH GRADE OR LESS,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,540
8TH GRADE OR LESS,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,543
8TH GRADE OR LESS,Total,Scarlet fever and erysipelas (A38A46),0,N/A,546
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,549
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,552
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Scarlet fever and erysipelas (A38A46),0,N/A,555
HIGH SCHOOL GRADUATE OR GED,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,558
HIGH SCHOOL GRADUATE OR GED,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,561
HIGH SCHOOL GRADUATE OR GED,Total,Scarlet fever and erysipelas (A38A46),0,N/A,564
COLLEGE BUT NO DEGREE,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,567
COLLEGE BUT NO DEGREE,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,570
COLLEGE BUT NO DEGREE,Total,Scarlet fever and erysipelas (A38A46),0,N/A,573
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,576
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,579
ASSOCIATE DEGREE (E.G. AA AS),Total,Scarlet fever and erysipelas (A38A46),0,N/A,582
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,585
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,588
BACHELORS DEGREE (E.G. BA AB BS),Total,Scarlet fever and erysipelas (A38A46),0,N/A,591
MASTERS DEGREE (E.G. MA MS..),2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,594
MASTERS DEGREE (E.G. MA MS..),2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,597
MASTERS DEGREE (E.G. MA MS..),Total,Scarlet fever and erysipelas (A38A46),0,N/A,600
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,603
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,606
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Scarlet fever and erysipelas (A38A46),0,N/A,609
UNKNOWN,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,612
UNKNOWN,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,615
UNKNOWN,Total,Scarlet fever and erysipelas (A38A46),0,N/A,618
Total,2020 **,Scarlet fever and erysipelas (A38A46),0,N/A,621
Total,2021 **,Scarlet fever and erysipelas (A38A46),0,N/A,624
Total,Total,Scarlet fever and erysipelas (A38A46),0,N/A,627
8TH GRADE OR LESS,2020 **,Meningococcal infection (A39),1,N/A,630
8TH GRADE OR LESS,2021 **,Meningococcal infection (A39),0,N/A,633
8TH GRADE OR LESS,Total,Meningococcal infection (A39),1,N/A,636
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Meningococcal infection (A39),0,N/A,639
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Meningococcal infection (A39),0,N/A,642
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Meningococcal infection (A39),0,N/A,645
HIGH SCHOOL GRADUATE OR GED,2020 **,Meningococcal infection (A39),0,N/A,648
HIGH SCHOOL GRADUATE OR GED,2021 **,Meningococcal infection (A39),0,N/A,651
HIGH SCHOOL GRADUATE OR GED,Total,Meningococcal infection (A39),0,N/A,654
COLLEGE BUT NO DEGREE,2020 **,Meningococcal infection (A39),0,N/A,657
COLLEGE BUT NO DEGREE,2021 **,Meningococcal infection (A39),0,N/A,660
COLLEGE BUT NO DEGREE,Total,Meningococcal infection (A39),0,N/A,663
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Meningococcal infection (A39),0,N/A,666
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Meningococcal infection (A39),0,N/A,669
ASSOCIATE DEGREE (E.G. AA AS),Total,Meningococcal infection (A39),0,N/A,672
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Meningococcal infection (A39),0,N/A,675
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Meningococcal infection (A39),0,N/A,678
BACHELORS DEGREE (E.G. BA AB BS),Total,Meningococcal infection (A39),0,N/A,681
MASTERS DEGREE (E.G. MA MS..),2020 **,Meningococcal infection (A39),0,N/A,684
MASTERS DEGREE (E.G. MA MS..),2021 **,Meningococcal infection (A39),0,N/A,687
MASTERS DEGREE (E.G. MA MS..),Total,Meningococcal infection (A39),0,N/A,690
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Meningococcal infection (A39),0,N/A,693
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Meningococcal infection (A39),0,N/A,696
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Meningococcal infection (A39),0,N/A,699
UNKNOWN,2020 **,Meningococcal infection (A39),0,N/A,702
UNKNOWN,2021 **,Meningococcal infection (A39),0,N/A,705
UNKNOWN,Total,Meningococcal infection (A39),0,N/A,708
Total,2020 **,Meningococcal infection (A39),1,N/A,711
Total,2021 **,Meningococcal infection (A39),0,N/A,714
Total,Total,Meningococcal infection (A39),1,N/A,717
8TH GRADE OR LESS,2020 **,Septicemia (A40-A41),87,0.6,720
8TH GRADE OR LESS,2021 **,Septicemia (A40-A41),0,N/A,723
8TH GRADE OR LESS,Total,Septicemia (A40-A41),87,0.3,726
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Septicemia (A40-A41),209,1.4,729
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Septicemia (A40-A41),1,N/A,732
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Septicemia (A40-A41),210,0.7,735
HIGH SCHOOL GRADUATE OR GED,2020 **,Septicemia (A40-A41),991,6.4,738
HIGH SCHOOL GRADUATE OR GED,2021 **,Septicemia (A40-A41),1,N/A,741
HIGH SCHOOL GRADUATE OR GED,Total,Septicemia (A40-A41),992,3.2,744
COLLEGE BUT NO DEGREE,2020 **,Septicemia (A40-A41),200,1.3,747
COLLEGE BUT NO DEGREE,2021 **,Septicemia (A40-A41),0,N/A,750
COLLEGE BUT NO DEGREE,Total,Septicemia (A40-A41),200,0.7,753
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Septicemia (A40-A41),111,0.7,756
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Septicemia (A40-A41),0,N/A,759
ASSOCIATE DEGREE (E.G. AA AS),Total,Septicemia (A40-A41),111,0.3,762
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Septicemia (A40-A41),162,1.1,765
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Septicemia (A40-A41),1,N/A,768
BACHELORS DEGREE (E.G. BA AB BS),Total,Septicemia (A40-A41),163,0.5,771
MASTERS DEGREE (E.G. MA MS..),2020 **,Septicemia (A40-A41),63,0.4,774
MASTERS DEGREE (E.G. MA MS..),2021 **,Septicemia (A40-A41),0,N/A,777
MASTERS DEGREE (E.G. MA MS..),Total,Septicemia (A40-A41),63,0.2,780
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Septicemia (A40-A41),20,0.1,783
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Septicemia (A40-A41),0,N/A,786
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Septicemia (A40-A41),20,0.1,789
UNKNOWN,2020 **,Septicemia (A40-A41),34,0.2,792
UNKNOWN,2021 **,Septicemia (A40-A41),0,N/A,795
UNKNOWN,Total,Septicemia (A40-A41),34,0.1,798
Total,2020 **,Septicemia (A40-A41),1877,12.3,801
Total,2021 **,Septicemia (A40-A41),3,N/A,804
Total,Total,Septicemia (A40-A41),1880,6.2,807
8TH GRADE OR LESS,2020 **,Syphilis ((A50-A53),0,N/A,810
8TH GRADE OR LESS,2021 **,Syphilis ((A50-A53),0,N/A,813
8TH GRADE OR LESS,Total,Syphilis ((A50-A53),0,N/A,816
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Syphilis ((A50-A53),0,N/A,819
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Syphilis ((A50-A53),0,N/A,822
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Syphilis ((A50-A53),0,N/A,825
HIGH SCHOOL GRADUATE OR GED,2020 **,Syphilis ((A50-A53),1,N/A,828
HIGH SCHOOL GRADUATE OR GED,2021 **,Syphilis ((A50-A53),0,N/A,831
HIGH SCHOOL GRADUATE OR GED,Total,Syphilis ((A50-A53),1,N/A,834
COLLEGE BUT NO DEGREE,2020 **,Syphilis ((A50-A53),0,N/A,837
COLLEGE BUT NO DEGREE,2021 **,Syphilis ((A50-A53),0,N/A,840
COLLEGE BUT NO DEGREE,Total,Syphilis ((A50-A53),0,N/A,843
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Syphilis ((A50-A53),0,N/A,846
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Syphilis ((A50-A53),0,N/A,849
ASSOCIATE DEGREE (E.G. AA AS),Total,Syphilis ((A50-A53),0,N/A,852
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Syphilis ((A50-A53),0,N/A,855
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Syphilis ((A50-A53),0,N/A,858
BACHELORS DEGREE (E.G. BA AB BS),Total,Syphilis ((A50-A53),0,N/A,861
MASTERS DEGREE (E.G. MA MS..),2020 **,Syphilis ((A50-A53),0,N/A,864
MASTERS DEGREE (E.G. MA MS..),2021 **,Syphilis ((A50-A53),0,N/A,867
MASTERS DEGREE (E.G. MA MS..),Total,Syphilis ((A50-A53),0,N/A,870
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Syphilis ((A50-A53),0,N/A,873
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Syphilis ((A50-A53),0,N/A,876
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Syphilis ((A50-A53),0,N/A,879
UNKNOWN,2020 **,Syphilis ((A50-A53),0,N/A,882
UNKNOWN,2021 **,Syphilis ((A50-A53),0,N/A,885
UNKNOWN,Total,Syphilis ((A50-A53),0,N/A,888
Total,2020 **,Syphilis ((A50-A53),1,N/A,891
Total,2021 **,Syphilis ((A50-A53),0,N/A,894
Total,Total,Syphilis ((A50-A53),1,N/A,897
8TH GRADE OR LESS,2020 **,Acute poliomyelitis (A80),0,N/A,900
8TH GRADE OR LESS,2021 **,Acute poliomyelitis (A80),0,N/A,903
8TH GRADE OR LESS,Total,Acute poliomyelitis (A80),0,N/A,906
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Acute poliomyelitis (A80),0,N/A,909
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Acute poliomyelitis (A80),0,N/A,912
