DeathAgeGroupNCIAgeNCI,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
65 to 69,Shigellosis and amebiasis (A03A06),1,N/A,105
70 to 74,Shigellosis and amebiasis (A03A06),0,N/A,108
75 to 79,Shigellosis and amebiasis (A03A06),0,N/A,111
80 to 84,Shigellosis and amebiasis (A03A06),0,N/A,114
85 and older,Shigellosis and amebiasis (A03A06),1,N/A,117
Unknown,Shigellosis and amebiasis (A03A06),0,N/A,120
Total,Shigellosis and amebiasis (A03A06),3,N/A,123
Less than 1,Certain other intestinal infections (A04A07-A09),90,0.1,126
1 to 4,Certain other intestinal infections (A04A07-A09),9,N/A,129
5 to 9,Certain other intestinal infections (A04A07-A09),4,N/A,132
10 to 14,Certain other intestinal infections (A04A07-A09),0,N/A,135
15 to 19,Certain other intestinal infections (A04A07-A09),2,N/A,138
20 to 24,Certain other intestinal infections (A04A07-A09),6,N/A,141
25 to 29,Certain other intestinal infections (A04A07-A09),8,N/A,144
30 to 34,Certain other intestinal infections (A04A07-A09),6,N/A,147
35 to 39,Certain other intestinal infections (A04A07-A09),17,0.0,150
40 to 44,Certain other intestinal infections (A04A07-A09),32,0.0,153
45 to 49,Certain other intestinal infections (A04A07-A09),53,0.1,156
50 to 54,Certain other intestinal infections (A04A07-A09),95,0.1,159
55 to 59,Certain other intestinal infections (A04A07-A09),190,0.1,162
60 to 64,Certain other intestinal infections (A04A07-A09),283,0.2,165
65 to 69,Certain other intestinal infections (A04A07-A09),427,0.3,168
70 to 74,Certain other intestinal infections (A04A07-A09),533,0.5,171
75 to 79,Certain other intestinal infections (A04A07-A09),817,0.8,174
80 to 84,Certain other intestinal infections (A04A07-A09),1119,1.4,177
85 and older,Certain other intestinal infections (A04A07-A09),2525,1.1,180
Unknown,Certain other intestinal infections (A04A07-A09),3,N/A,183
Total,Certain other intestinal infections (A04A07-A09),6219,2.9,186
Less than 1,Respiratory tuberculosis (A16),0,N/A,189
1 to 4,Respiratory tuberculosis (A16),0,N/A,192
5 to 9,Respiratory tuberculosis (A16),0,N/A,195
10 to 14,Respiratory tuberculosis (A16),0,N/A,198
15 to 19,Respiratory tuberculosis (A16),0,N/A,201
20 to 24,Respiratory tuberculosis (A16),0,N/A,204
25 to 29,Respiratory tuberculosis (A16),0,N/A,207
30 to 34,Respiratory tuberculosis (A16),1,N/A,210
35 to 39,Respiratory tuberculosis (A16),0,N/A,213
40 to 44,Respiratory tuberculosis (A16),3,N/A,216
45 to 49,Respiratory tuberculosis (A16),6,N/A,219
50 to 54,Respiratory tuberculosis (A16),4,N/A,222
55 to 59,Respiratory tuberculosis (A16),5,N/A,225
60 to 64,Respiratory tuberculosis (A16),9,N/A,228
65 to 69,Respiratory tuberculosis (A16),12,0.0,231
70 to 74,Respiratory tuberculosis (A16),12,0.0,234
75 to 79,Respiratory tuberculosis (A16),13,0.0,237
80 to 84,Respiratory tuberculosis (A16),22,0.0,240
85 and older,Respiratory tuberculosis (A16),30,0.0,243
Unknown,Respiratory tuberculosis (A16),0,N/A,246
Total,Respiratory tuberculosis (A16),117,0.1,249
Less than 1,Other tuberculosis (A17-A19),0,N/A,252
1 to 4,Other tuberculosis (A17-A19),0,N/A,255
5 to 9,Other tuberculosis (A17-A19),0,N/A,258
10 to 14,Other tuberculosis (A17-A19),0,N/A,261
15 to 19,Other tuberculosis (A17-A19),1,N/A,264
20 to 24,Other tuberculosis (A17-A19),2,N/A,267
25 to 29,Other tuberculosis (A17-A19),0,N/A,270
30 to 34,Other tuberculosis (A17-A19),0,N/A,273
35 to 39,Other tuberculosis (A17-A19),1,N/A,276
40 to 44,Other tuberculosis (A17-A19),1,N/A,279
45 to 49,Other tuberculosis (A17-A19),4,N/A,282
50 to 54,Other tuberculosis (A17-A19),5,N/A,285
55 to 59,Other tuberculosis (A17-A19),6,N/A,288
60 to 64,Other tuberculosis (A17-A19),10,0.0,291
65 to 69,Other tuberculosis (A17-A19),9,N/A,294
70 to 74,Other tuberculosis (A17-A19),9,N/A,297
75 to 79,Other tuberculosis (A17-A19),11,0.0,300
80 to 84,Other tuberculosis (A17-A19),11,0.0,303
85 and older,Other tuberculosis (A17-A19),9,N/A,306
Unknown,Other tuberculosis (A17-A19),0,N/A,309
Total,Other tuberculosis (A17-A19),79,0.0,312
Less than 1,Whooping cough (A37),5,N/A,315
1 to 4,Whooping cough (A37),0,N/A,318
5 to 9,Whooping cough (A37),0,N/A,321
10 to 14,Whooping cough (A37),0,N/A,324
15 to 19,Whooping cough (A37),0,N/A,327
20 to 24,Whooping cough (A37),0,N/A,330
25 to 29,Whooping cough (A37),0,N/A,333
30 to 34,Whooping cough (A37),0,N/A,336
35 to 39,Whooping cough (A37),0,N/A,339
40 to 44,Whooping cough (A37),0,N/A,342
45 to 49,Whooping cough (A37),0,N/A,345
50 to 54,Whooping cough (A37),0,N/A,348
55 to 59,Whooping cough (A37),0,N/A,351
60 to 64,Whooping cough (A37),0,N/A,354
65 to 69,Whooping cough (A37),1,N/A,357
70 to 74,Whooping cough (A37),0,N/A,360
75 to 79,Whooping cough (A37),0,N/A,363
80 to 84,Whooping cough (A37),0,N/A,366
85 and older,Whooping cough (A37),0,N/A,369
Unknown,Whooping cough (A37),0,N/A,372
Total,Whooping cough (A37),6,N/A,375
Less than 1,Scarlet fever and erysipelas (A38A46),0,N/A,378
1 to 4,Scarlet fever and erysipelas (A38A46),0,N/A,381
5 to 9,Scarlet fever and erysipelas (A38A46),0,N/A,384
10 to 14,Scarlet fever and erysipelas (A38A46),0,N/A,387
15 to 19,Scarlet fever and erysipelas (A38A46),0,N/A,390
20 to 24,Scarlet fever and erysipelas (A38A46),0,N/A,393
25 to 29,Scarlet fever and erysipelas (A38A46),0,N/A,396
30 to 34,Scarlet fever and erysipelas (A38A46),0,N/A,399
35 to 39,Scarlet fever and erysipelas (A38A46),0,N/A,402
40 to 44,Scarlet fever and erysipelas (A38A46),0,N/A,405
45 to 49,Scarlet fever and erysipelas (A38A46),0,N/A,408
50 to 54,Scarlet fever and erysipelas (A38A46),0,N/A,411
55 to 59,Scarlet fever and erysipelas (A38A46),1,N/A,414
60 to 64,Scarlet fever and erysipelas (A38A46),0,N/A,417
65 to 69,Scarlet fever and erysipelas (A38A46),0,N/A,420
70 to 74,Scarlet fever and erysipelas (A38A46),0,N/A,423
75 to 79,Scarlet fever and erysipelas (A38A46),0,N/A,426
80 to 84,Scarlet fever and erysipelas (A38A46),0,N/A,429
85 and older,Scarlet fever and erysipelas (A38A46),0,N/A,432
Unknown,Scarlet fever and erysipelas (A38A46),0,N/A,435
Total,Scarlet fever and erysipelas (A38A46),1,N/A,438
Less than 1,Meningococcal infection (A39),3,N/A,441
1 to 4,Meningococcal infection (A39),5,N/A,444
5 to 9,Meningococcal infection (A39),1,N/A,447
10 to 14,Meningococcal infection (A39),0,N/A,450
15 to 19,Meningococcal infection (A39),0,N/A,453
20 to 24,Meningococcal infection (A39),1,N/A,456
25 to 29,Meningococcal infection (A39),0,N/A,459
30 to 34,Meningococcal infection (A39),0,N/A,462
35 to 39,Meningococcal infection (A39),1,N/A,465
40 to 44,Meningococcal infection (A39),1,N/A,468
45 to 49,Meningococcal infection (A39),0,N/A,471
50 to 54,Meningococcal infection (A39),0,N/A,474
55 to 59,Meningococcal infection (A39),2,N/A,477
60 to 64,Meningococcal infection (A39),1,N/A,480
65 to 69,Meningococcal infection (A39),0,N/A,483
70 to 74,Meningococcal infection (A39),0,N/A,486
75 to 79,Meningococcal infection (A39),2,N/A,489
80 to 84,Meningococcal infection (A39),1,N/A,492
85 and older,Meningococcal infection (A39),1,N/A,495
Unknown,Meningococcal infection (A39),0,N/A,498
Total,Meningococcal infection (A39),19,0.0,501
Less than 1,Septicemia (A40-A41),104,0.1,504
1 to 4,Septicemia (A40-A41),40,0.0,507
5 to 9,Septicemia (A40-A41),20,0.0,510
10 to 14,Septicemia (A40-A41),15,0.0,513
15 to 19,Septicemia (A40-A41),28,0.0,516
20 to 24,Septicemia (A40-A41),45,0.1,519
25 to 29,Septicemia (A40-A41),81,0.1,522
30 to 34,Septicemia (A40-A41),139,0.2,525
35 to 39,Septicemia (A40-A41),214,0.3,528
40 to 44,Septicemia (A40-A41),312,0.5,531
45 to 49,Septicemia (A40-A41),579,0.7,534
50 to 54,Septicemia (A40-A41),1011,1.1,537
55 to 59,Septicemia (A40-A41),1518,1.1,540
60 to 64,Septicemia (A40-A41),2030,1.6,543
65 to 69,Septicemia (A40-A41),2420,1.9,546
70 to 74,Septicemia (A40-A41),2706,2.8,549
75 to 79,Septicemia (A40-A41),3195,3.0,552
80 to 84,Septicemia (A40-A41),3598,4.5,555
85 and older,Septicemia (A40-A41),6244,2.6,558
Unknown,Septicemia (A40-A41),50,N/A,561
Total,Septicemia (A40-A41),24349,11.5,564
Less than 1,Syphilis ((A50-A53),0,N/A,567
1 to 4,Syphilis ((A50-A53),0,N/A,570
5 to 9,Syphilis ((A50-A53),0,N/A,573
10 to 14,Syphilis ((A50-A53),0,N/A,576
15 to 19,Syphilis ((A50-A53),0,N/A,579
20 to 24,Syphilis ((A50-A53),0,N/A,582
25 to 29,Syphilis ((A50-A53),0,N/A,585
30 to 34,Syphilis ((A50-A53),0,N/A,588
35 to 39,Syphilis ((A50-A53),0,N/A,591
40 to 44,Syphilis ((A50-A53),1,N/A,594
45 to 49,Syphilis ((A50-A53),1,N/A,597
50 to 54,Syphilis ((A50-A53),0,N/A,600
55 to 59,Syphilis ((A50-A53),0,N/A,603
60 to 64,Syphilis ((A50-A53),1,N/A,606
65 to 69,Syphilis ((A50-A53),0,N/A,609
70 to 74,Syphilis ((A50-A53),0,N/A,612
75 to 79,Syphilis ((A50-A53),0,N/A,615
80 to 84,Syphilis ((A50-A53),2,N/A,618
85 and older,Syphilis ((A50-A53),9,N/A,621
Unknown,Syphilis ((A50-A53),0,N/A,624
Total,Syphilis ((A50-A53),14,0.0,627
Less than 1,Acute poliomyelitis (A80),0,N/A,630
1 to 4,Acute poliomyelitis (A80),0,N/A,633
5 to 9,Acute poliomyelitis (A80),0,N/A,636
10 to 14,Acute poliomyelitis (A80),0,N/A,639
15 to 19,Acute poliomyelitis (A80),0,N/A,642
20 to 24,Acute poliomyelitis (A80),0,N/A,645
25 to 29,Acute poliomyelitis (A80),0,N/A,648
30 to 34,Acute poliomyelitis (A80),0,N/A,651
35 to 39,Acute poliomyelitis (A80),0,N/A,654
40 to 44,Acute poliomyelitis (A80),0,N/A,657
45 to 49,Acute poliomyelitis (A80),0,N/A,660
50 to 54,Acute poliomyelitis (A80),0,N/A,663
55 to 59,Acute poliomyelitis (A80),0,N/A,666
60 to 64,Acute poliomyelitis (A80),0,N/A,669
65 to 69,Acute poliomyelitis (A80),0,N/A,672
70 to 74,Acute poliomyelitis (A80),0,N/A,675
75 to 79,Acute poliomyelitis (A80),0,N/A,678
80 to 84,Acute poliomyelitis (A80),0,N/A,681
85 and older,Acute poliomyelitis (A80),1,N/A,684
Unknown,Acute poliomyelitis (A80),0,N/A,687
Total,Acute poliomyelitis (A80),1,N/A,690
Less than 1,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,693
1 to 4,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,696
5 to 9,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,699
10 to 14,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,702
15 to 19,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,705
20 to 24,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,708
25 to 29,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,711
30 to 34,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,714
35 to 39,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,717
40 to 44,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,720
45 to 49,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,723
50 to 54,Arthropod-borne viral encephalitis (A83-A84A85.2),1,N/A,726
55 to 59,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,729
60 to 64,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,732
65 to 69,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,735
70 to 74,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,738
75 to 79,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,741
80 to 84,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,744
85 and older,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,747
Unknown,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,750
Total,Arthropod-borne viral encephalitis (A83-A84A85.2),1,N/A,753
Less than 1,Viral hepatitis (B15-B19),1,N/A,756
1 to 4,Viral hepatitis (B15-B19),0,N/A,759
5 to 9,Viral hepatitis (B15-B19),0,N/A,762
10 to 14,Viral hepatitis (B15-B19),0,N/A,765
15 to 19,Viral hepatitis (B15-B19),0,N/A,768
20 to 24,Viral hepatitis (B15-B19),0,N/A,771
25 to 29,Viral hepatitis (B15-B19),6,N/A,774
30 to 34,Viral hepatitis (B15-B19),22,0.0,777
35 to 39,Viral hepatitis (B15-B19),32,0.0,780
40 to 44,Viral hepatitis (B15-B19),82,0.1,783
45 to 49,Viral hepatitis (B15-B19),197,0.2,786
50 to 54,Viral hepatitis (B15-B19),482,0.5,789
55 to 59,Viral hepatitis (B15-B19),625,0.4,792
60 to 64,Viral hepatitis (B15-B19),488,0.4,795
65 to 69,Viral hepatitis (B15-B19),232,0.2,798
70 to 74,Viral hepatitis (B15-B19),149,0.2,801
75 to 79,Viral hepatitis (B15-B19),108,0.1,804
80 to 84,Viral hepatitis (B15-B19),79,0.1,807
85 and older,Viral hepatitis (B15-B19),59,0.0,810
Unknown,Viral hepatitis (B15-B19),9,N/A,813
Total,Viral hepatitis (B15-B19),2571,1.2,816
Less than 1,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,819
1 to 4,Human immunodeficiency virus (HIV) disease (B20-B24),1,N/A,822
5 to 9,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,825
10 to 14,Human immunodeficiency virus (HIV) disease (B20-B24),1,N/A,828
15 to 19,Human immunodeficiency virus (HIV) disease (B20-B24),2,N/A,831
20 to 24,Human immunodeficiency virus (HIV) disease (B20-B24),36,0.0,834
25 to 29,Human immunodeficiency virus (HIV) disease (B20-B24),74,0.1,837
30 to 34,Human immunodeficiency virus (HIV) disease (B20-B24),122,0.2,840
35 to 39,Human immunodeficiency virus (HIV) disease (B20-B24),168,0.3,843
40 to 44,Human immunodeficiency virus (HIV) disease (B20-B24),266,0.4,846
45 to 49,Human immunodeficiency virus (HIV) disease (B20-B24),326,0.4,849
50 to 54,Human immunodeficiency virus (HIV) disease (B20-B24),372,0.4,852
55 to 59,Human immunodeficiency virus (HIV) disease (B20-B24),245,0.2,855
60 to 64,Human immunodeficiency virus (HIV) disease (B20-B24),186,0.2,858
65 to 69,Human immunodeficiency virus (HIV) disease (B20-B24),94,0.1,861
70 to 74,Human immunodeficiency virus (HIV) disease (B20-B24),49,0.1,864
75 to 79,Human immunodeficiency virus (HIV) disease (B20-B24),21,0.0,867
80 to 84,Human immunodeficiency virus (HIV) disease (B20-B24),3,N/A,870
85 and older,Human immunodeficiency virus (HIV) disease (B20-B24),7,N/A,873
Unknown,Human immunodeficiency virus (HIV) disease (B20-B24),1,N/A,876
Total,Human immunodeficiency virus (HIV) disease (B20-B24),1974,1.1,879
Less than 1,Malaria (B50-B54),0,N/A,882
1 to 4,Malaria (B50-B54),0,N/A,885
5 to 9,Malaria (B50-B54),0,N/A,888
10 to 14,Malaria (B50-B54),0,N/A,891
15 to 19,Malaria (B50-B54),0,N/A,894
20 to 24,Malaria (B50-B54),0,N/A,897
25 to 29,Malaria (B50-B54),0,N/A,900
30 to 34,Malaria (B50-B54),0,N/A,903
35 to 39,Malaria (B50-B54),1,N/A,906
40 to 44,Malaria (B50-B54),0,N/A,909
45 to 49,Malaria (B50-B54),0,N/A,912
50 to 54,Malaria (B50-B54),0,N/A,915
55 to 59,Malaria (B50-B54),0,N/A,918
60 to 64,Malaria (B50-B54),0,N/A,921
65 to 69,Malaria (B50-B54),0,N/A,924
70 to 74,Malaria (B50-B54),0,N/A,927
75 to 79,Malaria (B50-B54),0,N/A,930
80 to 84,Malaria (B50-B54),0,N/A,933
85 and older,Malaria (B50-B54),0,N/A,936
Unknown,Malaria (B50-B54),0,N/A,939
Total,Malaria (B50-B54),1,N/A,942
Less than 1,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),87,0.1,945
1 to 4,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),39,0.0,948
5 to 9,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),24,0.0,951
10 to 14,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),14,0.0,954
15 to 19,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),27,0.0,957
20 to 24,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),22,0.0,960
25 to 29,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),30,0.0,963
30 to 34,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),51,0.1,966
35 to 39,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),43,0.1,969
40 to 44,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),58,0.1,972
45 to 49,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),105,0.1,975
50 to 54,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),163,0.2,978
55 to 59,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),268,0.2,981
60 to 64,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),350,0.3,984
65 to 69,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),431,0.3,987
70 to 74,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),433,0.4,990
75 to 79,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),444,0.4,993
80 to 84,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),444,0.6,996
85 and older,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),739,0.3,999
Unknown,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),2,N/A,1002
Total,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),3774,1.8,1005
Less than 1,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,1008
1 to 4,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,1011
5 to 9,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,1014
10 to 14,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,1017
15 to 19,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,1020
20 to 24,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),5,N/A,1023
25 to 29,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),7,N/A,1026
30 to 34,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),17,0.0,1029
35 to 39,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),42,0.1,1032
40 to 44,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),84,0.1,1035
45 to 49,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),200,0.2,1038
50 to 54,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),470,0.5,1041
55 to 59,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),703,0.5,1044
60 to 64,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),814,0.7,1047
65 to 69,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),745,0.6,1050
70 to 74,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),642,0.7,1053
75 to 79,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),554,0.5,1056
80 to 84,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),523,0.7,1059
85 and older,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),632,0.3,1062
Unknown,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,1065
Total,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),5438,2.5,1068
Less than 1,Malignant neoplasm of esophagus (C15),0,N/A,1071
1 to 4,Malignant neoplasm of esophagus (C15),0,N/A,1074
5 to 9,Malignant neoplasm of esophagus (C15),0,N/A,1077
10 to 14,Malignant neoplasm of esophagus (C15),0,N/A,1080
15 to 19,Malignant neoplasm of esophagus (C15),0,N/A,1083
20 to 24,Malignant neoplasm of esophagus (C15),1,N/A,1086
25 to 29,Malignant neoplasm of esophagus (C15),7,N/A,1089
30 to 34,Malignant neoplasm of esophagus (C15),20,0.0,1092
35 to 39,Malignant neoplasm of esophagus (C15),45,0.1,1095
40 to 44,Malignant neoplasm of esophagus (C15),136,0.2,1098
45 to 49,Malignant neoplasm of esophagus (C15),297,0.3,1101
50 to 54,Malignant neoplasm of esophagus (C15),631,0.7,1104
55 to 59,Malignant neoplasm of esophagus (C15),1067,0.8,1107
60 to 64,Malignant neoplasm of esophagus (C15),1426,1.2,1110
65 to 69,Malignant neoplasm of esophagus (C15),1434,1.1,1113
70 to 74,Malignant neoplasm of esophagus (C15),1420,1.5,1116
75 to 79,Malignant neoplasm of esophagus (C15),1304,1.2,1119
80 to 84,Malignant neoplasm of esophagus (C15),1078,1.3,1122
85 and older,Malignant neoplasm of esophagus (C15),1116,0.5,1125
Unknown,Malignant neoplasm of esophagus (C15),7,N/A,1128
Total,Malignant neoplasm of esophagus (C15),9989,4.6,1131
Less than 1,Malignant neoplasm of stomach (C16),0,N/A,1134
1 to 4,Malignant neoplasm of stomach (C16),0,N/A,1137
5 to 9,Malignant neoplasm of stomach (C16),0,N/A,1140
10 to 14,Malignant neoplasm of stomach (C16),0,N/A,1143
15 to 19,Malignant neoplasm of stomach (C16),2,N/A,1146
20 to 24,Malignant neoplasm of stomach (C16),6,N/A,1149
25 to 29,Malignant neoplasm of stomach (C16),14,0.0,1152
30 to 34,Malignant neoplasm of stomach (C16),37,0.0,1155
35 to 39,Malignant neoplasm of stomach (C16),54,0.1,1158
40 to 44,Malignant neoplasm of stomach (C16),96,0.1,1161
45 to 49,Malignant neoplasm of stomach (C16),174,0.2,1164
50 to 54,Malignant neoplasm of stomach (C16),292,0.3,1167
55 to 59,Malignant neoplasm of stomach (C16),400,0.3,1170
60 to 64,Malignant neoplasm of stomach (C16),511,0.4,1173
65 to 69,Malignant neoplasm of stomach (C16),590,0.5,1176
70 to 74,Malignant neoplasm of stomach (C16),694,0.7,1179
75 to 79,Malignant neoplasm of stomach (C16),703,0.7,1182
80 to 84,Malignant neoplasm of stomach (C16),743,0.9,1185
85 and older,Malignant neoplasm of stomach (C16),952,0.4,1188
Unknown,Malignant neoplasm of stomach (C16),6,N/A,1191
Total,Malignant neoplasm of stomach (C16),5274,2.5,1194
Less than 1,Malignant neoplasms of colon rectum and anus (C18-C21),0,N/A,1197
1 to 4,Malignant neoplasms of colon rectum and anus (C18-C21),0,N/A,1200
