DeathSexSexDesc,DeathYearYear,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
Male,Total,Syphilis ((A50-A53),1,N/A,339
Unknown,2020 **,Syphilis ((A50-A53),0,N/A,342
Unknown,2021 **,Syphilis ((A50-A53),0,N/A,345
Unknown,Total,Syphilis ((A50-A53),0,N/A,348
Total,2020 **,Syphilis ((A50-A53),1,N/A,351
Total,2021 **,Syphilis ((A50-A53),0,N/A,354
Total,Total,Syphilis ((A50-A53),1,N/A,357
Female,2020 **,Acute poliomyelitis (A80),0,N/A,360
Female,2021 **,Acute poliomyelitis (A80),0,N/A,363
Female,Total,Acute poliomyelitis (A80),0,N/A,366
Male,2020 **,Acute poliomyelitis (A80),0,N/A,369
Male,2021 **,Acute poliomyelitis (A80),0,N/A,372
Male,Total,Acute poliomyelitis (A80),0,N/A,375
Unknown,2020 **,Acute poliomyelitis (A80),0,N/A,378
Unknown,2021 **,Acute poliomyelitis (A80),0,N/A,381
Unknown,Total,Acute poliomyelitis (A80),0,N/A,384
Total,2020 **,Acute poliomyelitis (A80),0,N/A,387
Total,2021 **,Acute poliomyelitis (A80),0,N/A,390
Total,Total,Acute poliomyelitis (A80),0,N/A,393
Female,2020 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,396
Female,2021 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,399
Female,Total,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,402
Male,2020 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,405
Male,2021 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,408
Male,Total,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,411
Unknown,2020 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,414
Unknown,2021 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,417
Unknown,Total,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,420
Total,2020 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,423
Total,2021 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,426
Total,Total,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,429
Female,2020 **,Viral hepatitis (B15-B19),30,0.4,432
Female,2021 **,Viral hepatitis (B15-B19),0,N/A,435
Female,Total,Viral hepatitis (B15-B19),30,0.2,438
Male,2020 **,Viral hepatitis (B15-B19),67,0.9,441
Male,2021 **,Viral hepatitis (B15-B19),0,N/A,444
Male,Total,Viral hepatitis (B15-B19),67,0.5,447
Unknown,2020 **,Viral hepatitis (B15-B19),0,N/A,450
Unknown,2021 **,Viral hepatitis (B15-B19),0,N/A,453
Unknown,Total,Viral hepatitis (B15-B19),0,N/A,456
Total,2020 **,Viral hepatitis (B15-B19),97,0.7,459
Total,2021 **,Viral hepatitis (B15-B19),0,N/A,462
Total,Total,Viral hepatitis (B15-B19),97,0.3,465
Female,2020 **,Human immunodeficiency virus (HIV) disease (B20-B24),17,0.3,468
Female,2021 **,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,471
Female,Total,Human immunodeficiency virus (HIV) disease (B20-B24),17,0.1,474
Male,2020 **,Human immunodeficiency virus (HIV) disease (B20-B24),69,1.1,477
Male,2021 **,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,480
Male,Total,Human immunodeficiency virus (HIV) disease (B20-B24),69,0.5,483
Unknown,2020 **,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,486
Unknown,2021 **,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,489
Unknown,Total,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,492
Total,2020 **,Human immunodeficiency virus (HIV) disease (B20-B24),86,0.7,495
Total,2021 **,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,498
Total,Total,Human immunodeficiency virus (HIV) disease (B20-B24),86,0.3,501
Female,2020 **,Malaria (B50-B54),0,N/A,504
Female,2021 **,Malaria (B50-B54),0,N/A,507
Female,Total,Malaria (B50-B54),0,N/A,510
Male,2020 **,Malaria (B50-B54),0,N/A,513
Male,2021 **,Malaria (B50-B54),0,N/A,516
Male,Total,Malaria (B50-B54),0,N/A,519
Unknown,2020 **,Malaria (B50-B54),0,N/A,522
Unknown,2021 **,Malaria (B50-B54),0,N/A,525
Unknown,Total,Malaria (B50-B54),0,N/A,528
Total,2020 **,Malaria (B50-B54),0,N/A,531
Total,2021 **,Malaria (B50-B54),0,N/A,534
Total,Total,Malaria (B50-B54),0,N/A,537
Female,2020 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),170,2.1,540
Female,2021 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,543
Female,Total,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),170,1.0,546
Male,2020 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),200,3.1,549
Male,2021 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,552
Male,Total,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),200,1.5,555
Unknown,2020 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,558
Unknown,2021 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,561
Unknown,Total,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,564
Total,2020 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),370,2.5,567
Total,2021 **,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,570
Total,Total,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),370,1.3,573
Female,2020 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),128,1.6,576
Female,2021 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,579
Female,Total,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),128,0.8,582
Male,2020 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),323,4.5,585
Male,2021 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),1,N/A,588
Male,Total,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),324,2.2,591
Unknown,2020 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,594
Unknown,2021 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,597
Unknown,Total,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),0,N/A,600
Total,2020 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),451,2.9,603
Total,2021 **,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),1,N/A,606
Total,Total,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),452,1.4,609
Female,2020 **,Malignant neoplasm of esophagus (C15),104,1.2,612
Female,2021 **,Malignant neoplasm of esophagus (C15),1,N/A,615
Female,Total,Malignant neoplasm of esophagus (C15),105,0.6,618
Male,2020 **,Malignant neoplasm of esophagus (C15),521,7.3,621
Male,2021 **,Malignant neoplasm of esophagus (C15),1,N/A,624
Male,Total,Malignant neoplasm of esophagus (C15),522,3.6,627
Unknown,2020 **,Malignant neoplasm of esophagus (C15),0,N/A,630
Unknown,2021 **,Malignant neoplasm of esophagus (C15),0,N/A,633
Unknown,Total,Malignant neoplasm of esophagus (C15),0,N/A,636
Total,2020 **,Malignant neoplasm of esophagus (C15),625,4.0,639
Total,2021 **,Malignant neoplasm of esophagus (C15),2,N/A,642
Total,Total,Malignant neoplasm of esophagus (C15),627,2.0,645
Female,2020 **,Malignant neoplasm of stomach (C16),143,1.7,648
Female,2021 **,Malignant neoplasm of stomach (C16),0,N/A,651
Female,Total,Malignant neoplasm of stomach (C16),143,0.9,654
Male,2020 **,Malignant neoplasm of stomach (C16),181,2.6,657
Male,2021 **,Malignant neoplasm of stomach (C16),0,N/A,660
Male,Total,Malignant neoplasm of stomach (C16),181,1.3,663
Unknown,2020 **,Malignant neoplasm of stomach (C16),0,N/A,666
Unknown,2021 **,Malignant neoplasm of stomach (C16),0,N/A,669
Unknown,Total,Malignant neoplasm of stomach (C16),0,N/A,672
Total,2020 **,Malignant neoplasm of stomach (C16),324,2.1,675
Total,2021 **,Malignant neoplasm of stomach (C16),0,N/A,678
Total,Total,Malignant neoplasm of stomach (C16),324,1.1,681
Female,2020 **,Malignant neoplasms of colon rectum and anus (C18-C21),936,11.0,684
Female,2021 **,Malignant neoplasms of colon rectum and anus (C18-C21),6,N/A,687
Female,Total,Malignant neoplasms of colon rectum and anus (C18-C21),942,5.5,690
Male,2020 **,Malignant neoplasms of colon rectum and anus (C18-C21),1043,15.4,693
Male,2021 **,Malignant neoplasms of colon rectum and anus (C18-C21),4,N/A,696
Male,Total,Malignant neoplasms of colon rectum and anus (C18-C21),1047,7.8,699
Unknown,2020 **,Malignant neoplasms of colon rectum and anus (C18-C21),0,N/A,702
Unknown,2021 **,Malignant neoplasms of colon rectum and anus (C18-C21),0,N/A,705
Unknown,Total,Malignant neoplasms of colon rectum and anus (C18-C21),0,N/A,708
Total,2020 **,Malignant neoplasms of colon rectum and anus (C18-C21),1979,13.0,711
Total,2021 **,Malignant neoplasms of colon rectum and anus (C18-C21),10,0.1,714
Total,Total,Malignant neoplasms of colon rectum and anus (C18-C21),1989,6.6,717
Female,2020 **,Malignant neoplasms of liver and intrahepatic bile ducts (C22),312,3.7,720
Female,2021 **,Malignant neoplasms of liver and intrahepatic bile ducts (C22),0,N/A,723
Female,Total,Malignant neoplasms of liver and intrahepatic bile ducts (C22),312,1.8,726
Male,2020 **,Malignant neoplasms of liver and intrahepatic bile ducts (C22),585,8.0,729
Male,2021 **,Malignant neoplasms of liver and intrahepatic bile ducts (C22),0,N/A,732
Male,Total,Malignant neoplasms of liver and intrahepatic bile ducts (C22),585,4.0,735
Unknown,2020 **,Malignant neoplasms of liver and intrahepatic bile ducts (C22),0,N/A,738
Unknown,2021 **,Malignant neoplasms of liver and intrahepatic bile ducts (C22),0,N/A,741
Unknown,Total,Malignant neoplasms of liver and intrahepatic bile ducts (C22),0,N/A,744
Total,2020 **,Malignant neoplasms of liver and intrahepatic bile ducts (C22),897,5.6,747
Total,2021 **,Malignant neoplasms of liver and intrahepatic bile ducts (C22),0,N/A,750
Total,Total,Malignant neoplasms of liver and intrahepatic bile ducts (C22),897,2.8,753
Female,2020 **,Malignant neoplasm of pancreas (C25),819,9.4,756
Female,2021 **,Malignant neoplasm of pancreas (C25),3,N/A,759
Female,Total,Malignant neoplasm of pancreas (C25),822,4.7,762
Male,2020 **,Malignant neoplasm of pancreas (C25),905,13.0,765
Male,2021 **,Malignant neoplasm of pancreas (C25),1,N/A,768
Male,Total,Malignant neoplasm of pancreas (C25),906,6.5,771
Unknown,2020 **,Malignant neoplasm of pancreas (C25),0,N/A,774
Unknown,2021 **,Malignant neoplasm of pancreas (C25),0,N/A,777
Unknown,Total,Malignant neoplasm of pancreas (C25),0,N/A,780
Total,2020 **,Malignant neoplasm of pancreas (C25),1724,11.0,783
Total,2021 **,Malignant neoplasm of pancreas (C25),4,N/A,786
Total,Total,Malignant neoplasm of pancreas (C25),1728,5.5,789
Female,2020 **,Malignant neoplasm of larynx (C32),33,0.4,792
Female,2021 **,Malignant neoplasm of larynx (C32),0,N/A,795
Female,Total,Malignant neoplasm of larynx (C32),33,0.2,798
Male,2020 **,Malignant neoplasm of larynx (C32),134,1.8,801
Male,2021 **,Malignant neoplasm of larynx (C32),0,N/A,804
Male,Total,Malignant neoplasm of larynx (C32),134,0.9,807
Unknown,2020 **,Malignant neoplasm of larynx (C32),0,N/A,810
Unknown,2021 **,Malignant neoplasm of larynx (C32),0,N/A,813
Unknown,Total,Malignant neoplasm of larynx (C32),0,N/A,816
Total,2020 **,Malignant neoplasm of larynx (C32),167,1.0,819
Total,2021 **,Malignant neoplasm of larynx (C32),0,N/A,822
Total,Total,Malignant neoplasm of larynx (C32),167,0.5,825
Female,2020 **,Malignant neoplasms of trachea bronchus and lung (C33-C34),2596,29.7,828
Female,2021 **,Malignant neoplasms of trachea bronchus and lung (C33-C34),6,N/A,831
Female,Total,Malignant neoplasms of trachea bronchus and lung (C33-C34),2602,14.9,834
Male,2020 **,Malignant neoplasms of trachea bronchus and lung (C33-C34),3129,44.4,837
Male,2021 **,Malignant neoplasms of trachea bronchus and lung (C33-C34),4,N/A,840
Male,Total,Malignant neoplasms of trachea bronchus and lung (C33-C34),3133,22.2,843
Unknown,2020 **,Malignant neoplasms of trachea bronchus and lung (C33-C34),0,N/A,846
Unknown,2021 **,Malignant neoplasms of trachea bronchus and lung (C33-C34),0,N/A,849
Unknown,Total,Malignant neoplasms of trachea bronchus and lung (C33-C34),0,N/A,852
Total,2020 **,Malignant neoplasms of trachea bronchus and lung (C33-C34),5725,36.1,855
Total,2021 **,Malignant neoplasms of trachea bronchus and lung (C33-C34),10,0.1,858
Total,Total,Malignant neoplasms of trachea bronchus and lung (C33-C34),5735,18.1,861
Female,2020 **,Malignant melanoma of skin (C43),110,1.4,864
Female,2021 **,Malignant melanoma of skin (C43),2,N/A,867
Female,Total,Malignant melanoma of skin (C43),112,0.7,870
Male,2020 **,Malignant melanoma of skin (C43),247,3.7,873
Male,2021 **,Malignant melanoma of skin (C43),0,N/A,876
Male,Total,Malignant melanoma of skin (C43),247,1.9,879
Unknown,2020 **,Malignant melanoma of skin (C43),0,N/A,882
Unknown,2021 **,Malignant melanoma of skin (C43),0,N/A,885
Unknown,Total,Malignant melanoma of skin (C43),0,N/A,888
Total,2020 **,Malignant melanoma of skin (C43),357,2.4,891
Total,2021 **,Malignant melanoma of skin (C43),2,N/A,894
Total,Total,Malignant melanoma of skin (C43),359,1.2,897
Female,2020 **,Malignant neoplasm of breast (C50),1522,18.4,900
Female,2021 **,Malignant neoplasm of breast (C50),3,N/A,903
Female,Total,Malignant neoplasm of breast (C50),1525,9.2,906
Male,2020 **,Malignant neoplasm of breast (C50),20,0.3,909
Male,2021 **,Malignant neoplasm of breast (C50),0,N/A,912
Male,Total,Malignant neoplasm of breast (C50),20,0.2,915
Unknown,2020 **,Malignant neoplasm of breast (C50),0,N/A,918
Unknown,2021 **,Malignant neoplasm of breast (C50),0,N/A,921
Unknown,Total,Malignant neoplasm of breast (C50),0,N/A,924
Total,2020 **,Malignant neoplasm of breast (C50),1542,10.3,927
Total,2021 **,Malignant neoplasm of breast (C50),3,N/A,930
Total,Total,Malignant neoplasm of breast (C50),1545,5.2,933
Female,2020 **,Malignant neoplasm of cervix uteri (C53),134,2.0,936
Female,2021 **,Malignant neoplasm of cervix uteri (C53),0,N/A,939
Female,Total,Malignant neoplasm of cervix uteri (C53),134,1.0,942
Male,2020 **,Malignant neoplasm of cervix uteri (C53),0,N/A,945
Male,2021 **,Malignant neoplasm of cervix uteri (C53),0,N/A,948
Male,Total,Malignant neoplasm of cervix uteri (C53),0,N/A,951
Unknown,2020 **,Malignant neoplasm of cervix uteri (C53),0,N/A,954
Unknown,2021 **,Malignant neoplasm of cervix uteri (C53),0,N/A,957
Unknown,Total,Malignant neoplasm of cervix uteri (C53),0,N/A,960
Total,2020 **,Malignant neoplasm of cervix uteri (C53),134,1.0,963
Total,2021 **,Malignant neoplasm of cervix uteri (C53),0,N/A,966
Total,Total,Malignant neoplasm of cervix uteri (C53),134,0.5,969
Female,2020 **,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),437,4.9,972
Female,2021 **,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),2,N/A,975
Female,Total,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),439,2.5,978
Male,2020 **,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),0,N/A,981
Male,2021 **,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),0,N/A,984
Male,Total,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),0,N/A,987
Unknown,2020 **,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),0,N/A,990
Unknown,2021 **,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),0,N/A,993
Unknown,Total,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),0,N/A,996
Total,2020 **,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),437,2.7,999
Total,2021 **,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),2,N/A,1002
Total,Total,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),439,1.4,1005
Female,2020 **,Malignant neoplasm of ovary (C56),441,5.2,1008
Female,2021 **,Malignant neoplasm of ovary (C56),1,N/A,1011
Female,Total,Malignant neoplasm of ovary (C56),442,2.6,1014
Male,2020 **,Malignant neoplasm of ovary (C56),0,N/A,1017
Male,2021 **,Malignant neoplasm of ovary (C56),0,N/A,1020
Male,Total,Malignant neoplasm of ovary (C56),0,N/A,1023
Unknown,2020 **,Malignant neoplasm of ovary (C56),0,N/A,1026
Unknown,2021 **,Malignant neoplasm of ovary (C56),0,N/A,1029
Unknown,Total,Malignant neoplasm of ovary (C56),0,N/A,1032
Total,2020 **,Malignant neoplasm of ovary (C56),441,2.8,1035
Total,2021 **,Malignant neoplasm of ovary (C56),1,N/A,1038
Total,Total,Malignant neoplasm of ovary (C56),442,1.4,1041
Female,2020 **,Malignant neoplasm of prostate (C61),0,N/A,1044
Female,2021 **,Malignant neoplasm of prostate (C61),0,N/A,1047
Female,Total,Malignant neoplasm of prostate (C61),0,N/A,1050
Male,2020 **,Malignant neoplasm of prostate (C61),1113,17.2,1053
Male,2021 **,Malignant neoplasm of prostate (C61),2,N/A,1056
Male,Total,Malignant neoplasm of prostate (C61),1115,8.6,1059
Unknown,2020 **,Malignant neoplasm of prostate (C61),0,N/A,1062
Unknown,2021 **,Malignant neoplasm of prostate (C61),0,N/A,1065
Unknown,Total,Malignant neoplasm of prostate (C61),0,N/A,1068
Total,2020 **,Malignant neoplasm of prostate (C61),1113,7.1,1071
Total,2021 **,Malignant neoplasm of prostate (C61),2,N/A,1074
Total,Total,Malignant neoplasm of prostate (C61),1115,3.5,1077
Female,2020 **,Malignant neoplasms of kidney and renal pelvis (C64-C65),193,2.3,1080
Female,2021 **,Malignant neoplasms of kidney and renal pelvis (C64-C65),0,N/A,1083
Female,Total,Malignant neoplasms of kidney and renal pelvis (C64-C65),193,1.1,1086
Male,2020 **,Malignant neoplasms of kidney and renal pelvis (C64-C65),359,5.3,1089
Male,2021 **,Malignant neoplasms of kidney and renal pelvis (C64-C65),1,N/A,1092
Male,Total,Malignant neoplasms of kidney and renal pelvis (C64-C65),360,2.6,1095
Unknown,2020 **,Malignant neoplasms of kidney and renal pelvis (C64-C65),0,N/A,1098
Unknown,2021 **,Malignant neoplasms of kidney and renal pelvis (C64-C65),0,N/A,1101
Unknown,Total,Malignant neoplasms of kidney and renal pelvis (C64-C65),0,N/A,1104
Total,2020 **,Malignant neoplasms of kidney and renal pelvis (C64-C65),552,3.6,1107
Total,2021 **,Malignant neoplasms of kidney and renal pelvis (C64-C65),1,N/A,1110
Total,Total,Malignant neoplasms of kidney and renal pelvis (C64-C65),553,1.8,1113
Female,2020 **,Malignant neoplasm of bladder (C67),187,2.1,1116
Female,2021 **,Malignant neoplasm of bladder (C67),0,N/A,1119
Female,Total,Malignant neoplasm of bladder (C67),187,1.1,1122
Male,2020 **,Malignant neoplasm of bladder (C67),515,8.0,1125
